tld,Sunrise (Start/End Date Sunrise),open,close
rmit,Spec 13 - .BRAND TLD,,
MOSCOW,Start Date Sunrise,10-Jun-14,10-Jul-14
xn--80adxhks,Start Date Sunrise,10-Jun-14,10-Jul-14
BROADWAY,End Date Sunrise,4-Jan-17,5-Mar-17
volvo,Spec 13 - .BRAND TLD,,
pwc,Spec 13 - .BRAND TLD,,
CBS,Spec 13 - .BRAND TLD,,
SHOWTIME,Spec 13 - .BRAND TLD,,
hospital,End Date Sunrise,10-Jan-17,11-Mar-17
REALTOR,Start Date Sunrise,8-Sep-14,8-Oct-14
CHASE,Spec 13 - .BRAND TLD,,
JPMORGAN,Spec 13 - .BRAND TLD,,
mopar,Spec 13 - .BRAND TLD,,
jeep,Spec 13 - .BRAND TLD,,
dodge,Spec 13 - .BRAND TLD,,
chrysler,Spec 13 - .BRAND TLD,,
uconnect,Spec 13 - .BRAND TLD,,
srt,Spec 13 - .BRAND TLD,,
xn--t60b56a,Start Date Sunrise,16-May-16,19-Jun-16
xn--mk1bu44c,Start Date Sunrise,16-May-16,19-Jun-16
MOTORCYCLES,End Date Sunrise,15-Jun-16,14-Aug-16
HOMES,End Date Sunrise,7-Mar-16,6-May-16
YACHTS,End Date Sunrise,2-Dec-15,31-Jan-16
AUTOS,End Date Sunrise,22-Mar-16,21-May-16
BOATS,End Date Sunrise,3-Dec-15,1-Feb-16
art,End Date Sunrise,7-Dec-16,7-Feb-17
auspost,Spec 13 - .BRAND TLD,,
TIFFANY,Spec 13 - .BRAND TLD,,
GUARDIAN,Spec 13 - .BRAND TLD,,
LILLY,Spec 13 - .BRAND TLD,,
mcd,Spec 13 - .BRAND TLD,,
mcdonalds,Spec 13 - .BRAND TLD,,
ABC,Spec 13 - .BRAND TLD,,
PRIME,Spec 13 - .BRAND TLD,,
IMDB,Spec 13 - .BRAND TLD,,
ZAPPOS,Spec 13 - .BRAND TLD,,
MOI,Start Date Sunrise,1-Jun-16,15-Jul-16
goog,End Date Sunrise,11-Oct-16,10-Dec-16
Gucci,Spec 13 - .BRAND TLD,,
BABY,Start Date Sunrise,2-Nov-16,2-Dec-16
xn--fct429k,Start Date Sunrise,1-Nov-16,31-Jan-17
xn--jvr189m,Start Date Sunrise,1-Nov-16,31-Jan-17
xn--1ck2e1b,Start Date Sunrise,1-Nov-16,31-Jan-17
xn--bck1b9a5dre4c,Start Date Sunrise,1-Nov-16,31-Jan-17
xn--gckr3f0f,Start Date Sunrise,1-Nov-16,31-Jan-17
xn--cck2b3b,Start Date Sunrise,1-Nov-16,31-Jan-17
xn--rovu88b,Start Date Sunrise,1-Nov-16,31-Jan-17
mit,Spec 13 - .BRAND TLD,,
GRAINGER,Spec 13 - .BRAND TLD,,
JNJ,Spec 13 - .BRAND TLD,,
viking,Spec 13 - .BRAND TLD,,
SCJOHNSON,Spec 13 - .BRAND TLD,,
RAID,Spec 13 - .BRAND TLD,,
OFF,Spec 13 - .BRAND TLD,,
AFAMILYCOMPANY,Spec 13 - .BRAND TLD,,
DUCK,Spec 13 - .BRAND TLD,,
GLADE,Spec 13 - .BRAND TLD,,
MAKEUP,Start Date Sunrise,22-Sep-16,31-Oct-16
MED,End Date Sunrise,25-Apr-16,24-Jun-16
redumbrella,Start Date Sunrise,25-Apr-16,25-May-16
travelersinsurance,Start Date Sunrise,25-Apr-16,25-May-16
trv,Start Date Sunrise,25-Apr-16,25-May-16
travelers,Spec 13 - .BRAND TLD,,
lasalle,Start Date Sunrise,14-Dec-15,14-Jan-16
jll,Spec 13 - .BRAND TLD,,
ceb,Spec 13 - .BRAND TLD,,
cipriani,Spec 13 - .BRAND TLD,,
boehringer,Spec 13 - .BRAND TLD,,
natura,Spec 13 - .BRAND TLD,,
xn--tckwe,Start Date Sunrise,9-Dec-15,14-Mar-16
blanco,Spec 13 - .BRAND TLD,,
ITV,Spec 13 - .BRAND TLD,,
ladbrokes,Spec 13 - .BRAND TLD,,
XFINITY,Spec 13 - .BRAND TLD,,
COMCAST,Spec 13 - .BRAND TLD,,
xn--czrs0t,End Date Sunrise,13-Sep-16,31-Dec-16
xn--unup4y,End Date Sunrise,13-Sep-16,31-Dec-16
xn--vhquv,End Date Sunrise,13-Sep-16,31-Dec-16
xn--fjq720a,End Date Sunrise,13-Sep-16,31-Dec-16
xn--5tzm5g,Start Date Sunrise,26-Sep-16,26-Oct-16
PFIZER,Spec 13 - .BRAND TLD,,
CAM,End Date Sunrise,6-Oct-16,5-Dec-16
DUPONT,Spec 13 - .BRAND TLD,,
lundbeck,Spec 13 - .BRAND TLD,,
BLOG,End Date Sunrise,18-Aug-16,17-Oct-16
lipsy,Spec 13 - .BRAND TLD,,
progressive,Spec 13 - .BRAND TLD,,
lego,Spec 13 - .BRAND TLD,,
ericsson,Spec 13 - .BRAND TLD,,
airbus,Spec 13 - .BRAND TLD,,
next,Spec 13 - .BRAND TLD,,
nextdirect,Spec 13 - .BRAND TLD,,
rexroth,Spec 13 - .BRAND TLD,,
bosch,Spec 13 - .BRAND TLD,,
lplfinancial,Spec 13 - .BRAND TLD,,
warman,Spec 13 - .BRAND TLD,,
lpl,Spec 13 - .BRAND TLD,,
chintai,Spec 13 - .BRAND TLD,,
TDK,Spec 13 - .BRAND TLD,,
able,End Date Sunrise,4-Aug-16,3-Oct-16
jcp,Spec 13 - .BRAND TLD,,
BIBLE,Start Date Sunrise,6-Jan-16,5-Feb-16
cisco,Spec 13 - .BRAND TLD,,
doctor,End Date Sunrise,23-Aug-16,22-Oct-16
kerryhotels,Start Date Sunrise,18-Aug-16,18-Sep-16
xn--w4r85el8fhu5dnra,Start Date Sunrise,18-Aug-16,18-Sep-16
EXTRASPACE,Spec 13 - .BRAND TLD,,
JMP,Spec 13 - .BRAND TLD,,
shangrila,Spec 13 - .BRAND TLD,,
xn--5su34j936bgsg,Spec 13 - .BRAND TLD,,
total,Spec 13 - .BRAND TLD,,
fage,Spec 13 - .BRAND TLD,,
bostik,Spec 13 - .BRAND TLD,,
locus,Spec 13 - .BRAND TLD,,
FOX,Spec 13 - .BRAND TLD,,
ikano,Spec 13 - .BRAND TLD,,
shopping,End Date Sunrise,19-Jul-16,17-Sep-16
tui,Spec 13 - .BRAND TLD,,
SFR,Spec 13 - .BRAND TLD,,
storage,Start Date Sunrise,5-Jul-16,30-Aug-16
lanxess,Spec 13 - .BRAND TLD,,
gmbh,End Date Sunrise,12-Apr-16,11-Jun-16
ltd,End Date Sunrise,12-Apr-16,11-Jun-16
ruhr,Start Date Sunrise,21-Jan-14,20-Feb-14
FERRERO,Spec 13 - .BRAND TLD,,
monash,Spec 13 - .BRAND TLD,,
insurance,Start Date Sunrise,9-May-16,8-Jun-16
KINDER,Spec 13 - .BRAND TLD,,
quest,Start Date Sunrise,1-Aug-16,31-Aug-16
DHL,Spec 13 - .BRAND TLD,,
EPOST,Spec 13 - .BRAND TLD,,
TEVA,Spec 13 - .BRAND TLD,,
ABBVIE,Spec 13 - .BRAND TLD,,
games,End Date Sunrise,12-Jul-16,10-Sep-16
temasek,Spec 13 - .BRAND TLD,,
xn--b4w605ferd,Spec 13 - .BRAND TLD,,
group,End Date Sunrise,29-Mar-16,28-May-16
salon,End Date Sunrise,29-Mar-16,28-May-16
promo,Start Date Sunrise,14-Apr-16,16-May-16
zuerich,End Date Sunrise,4-Apr-17,5-Jun-17
SHOP,End Date Sunrise,30-Jun-16,29-Aug-16
AWS,Spec 13 - .BRAND TLD,,
jcb,Spec 13 - .BRAND TLD,,
infiniti,Spec 13 - .BRAND TLD,,
datsun,Spec 13 - .BRAND TLD,,
nissan,Spec 13 - .BRAND TLD,,
IPIRANGA,Spec 13 - .BRAND TLD,,
STC,End Date Sunrise,28-Apr-16,27-Jul-16
VIVA,End Date Sunrise,28-Apr-16,27-Jul-16
STCGROUP,End Date Sunrise,28-Apr-16,27-Jul-16
nikon,Spec 13 - .BRAND TLD,,
nissay,Spec 13 - .BRAND TLD,,
TUBE,End Date Sunrise,21-Apr-16,20-Jun-16
crs,Start Date Sunrise,16-Feb-15,18-Mar-15
BET,Start Date Sunrise,5-Jan-16,4-Feb-16
game,End Date Sunrise,6-Aug-15,5-Oct-15
stream,End Date Sunrise,25-Apr-16,27-Jun-16
schaeffler,Spec 13 - .BRAND TLD,,
vip,Start Date Sunrise,10-Mar-16,9-May-16
apple,Spec 13 - .BRAND TLD,,
beats,Spec 13 - .BRAND TLD,,
fresenius,Spec 13 - .BRAND TLD,,
softbank,Spec 13 - .BRAND TLD,,
sharp,Spec 13 - .BRAND TLD,,
firestone,Spec 13 - .BRAND TLD,,
playstation,Spec 13 - .BRAND TLD,,
SHELL,Spec 13 - .BRAND TLD,,
ROCHER,Spec 13 - .BRAND TLD,,
bugatti,Spec 13 - .BRAND TLD,,
audi,Spec 13 - .BRAND TLD,,
lamborghini,Spec 13 - .BRAND TLD,,
volkswagen,Spec 13 - .BRAND TLD,,
ADAC,Spec 13 - .BRAND TLD,,
store,End Date Sunrise,6-Apr-16,5-Jun-16
HOTELES,End Date Sunrise,22-Dec-15,1-Mar-16
nokia,Spec 13 - .BRAND TLD,,
ping,Spec 13 - .BRAND TLD,,
DELOITTE,Spec 13 - .BRAND TLD,,
STATEFARM,Spec 13 - .BRAND TLD,,
seat,Spec 13 - .BRAND TLD,,
pictet,Spec 13 - .BRAND TLD,,
edeka,Spec 13 - .BRAND TLD,,
weber,Spec 13 - .BRAND TLD,,
cloud,End Date Sunrise,16-Nov-15,15-Jan-16
krd,End Date Sunrise,5-Aug-15,4-Oct-15
NORTON,Spec 13 - .BRAND TLD,,
SYMANTEC,Spec 13 - .BRAND TLD,,
mom,Start Date Sunrise,24-Feb-16,25-Mar-16
wine,End Date Sunrise,17-Nov-15,16-Jan-16
vin,End Date Sunrise,17-Nov-15,16-Jan-16
AARP,Spec 13 - .BRAND TLD,,
bank,Start Date Sunrise,18-May-15,17-Jun-15
kpn,Spec 13 - .BRAND TLD,,
istanbul,Start Date Sunrise,27-Jan-16,26-Feb-16
ist,Start Date Sunrise,27-Jan-16,26-Feb-16
stada,Spec 13 - .BRAND TLD,,
MTR,Spec 13 - .BRAND TLD,,
ice,Spec 13 - .BRAND TLD,,
hyundai,Spec 13 - .BRAND TLD,,
CROWN,Spec 13 - .BRAND TLD,,
