registrarname,domains
"GODADDY.COM, LLC",60792
"ENOM, INC.",24349
PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM,20892
TUCOWS DOMAINS INC.,9817
"NETWORK SOLUTIONS, LLC.",5736
"WILD WEST DOMAINS, LLC",4911
"LAUNCHPAD.COM, INC.",3414
"GoDaddy.com, LLC (R171-LRMS)",3351
"NAME.COM, INC.",3347
"MELBOURNE IT, LTD. D/B/A INTERNET NAMES WORLDWIDE",3147
"FASTDOMAIN, INC.",2946
"ONLINENIC, INC.",2867
1 & 1 INTERNET AG,2856
"GoDaddy.com, LLC (R91-LROR)",2787
MARKMONITOR INC.,2730
"REGISTER.COM, INC.",2625
"CSC CORPORATE DOMAINS, INC.",2437
"DOMAIN.COM, LLC",2390
OVH,2285
,2279
FBS INC.,1822
HICHINA ZHICHENG TECHNOLOGY LTD.,1700
"GoDaddy.com, LLC",1653
BIGROCK SOLUTIONS LIMITED,1441
PDR Ltd. d/b/a PublicDomainRegistry.com (R27-LROR),1340
NETEARTH ONE INC. D/B/A NETEARTH,1285
"eNom, Inc. (R39-LROR)",1259
KEY-SYSTEMS GMBH,1253
INTERNET DOMAIN SERVICE BS CORP,1187
XIN NET TECHNOLOGY CORPORATION,1142
INTERNET.BS CORP.,1051
"NAMESILO, LLC",1035
MONIKER ONLINE SERVICES LLC,1003
EVOPLUS LTD,1002
"ASCIO TECHNOLOGIES, INC. DANMARK - FILIAL AF ASCIO TECHNOLOGIES, INC. USA",976
PDR Ltd. d/b/a PublicDomainRegistry.com,956
BEIJING INNOVATIVE LINKAGE TECHNOLOGY LTD. DBA DNS.COM.CN,945
CV. JOGJACAMP,882
WEB COMMERCE COMMUNICATIONS LIMITED DBA WEBNIC.CC,863
REALTIME REGISTER BV,856
"GMO INTERNET, INC. DBA ONAMAE.COM",854
CRAZY DOMAINS FZ-LLC,849
"DYNADOT, LLC",845
"BIZCN.COM, INC.",821
NICS TELEKOMUNIKASYON TICARET LTD.STI.,785
GANDI SAS,773
"eNom, Inc.",768
"CHENGDU WEST DIMENSION DIGITAL TECHNOLOGY CO., LTD.",759
"DNC HOLDINGS, INC.",754
"DREAMHOST, LLC",728
TLD REGISTRAR SOLUTIONS LTD,721
1&1 INTERNET SE,714
UNIVERSO ONLINE S/A (UOL),618
REGISTER.IT SPA,610
HEBEI GUOJI MAOYI (SHANGHAI) LTD DBA HEBEIDOMAINS.COM,586
"Network Solutions, LLC (R63-LROR)",586
MESH DIGITAL LIMITED,569
WEBFUSION LTD.,560
GAL COMMUNICATION (COMMUNIGAL) LTD.,538
"IHS TELEKOM, INC.",532
Namecheap,525
"Chengdu West Dimension Digital Technology Co., Ltd.",524
DATTATEC.COM SRL,503
Tucows Inc. (R11-LROR),499
1&1 Internet AG (R113-LRMS),478
REGISTRAR OF DOMAIN NAMES REG.RU LLC,446
NET 4 INDIA LIMITED,431
"ARSYS INTERNET, S.L. D/B/A NICLINE.COM",425
