registrarname,domains
"GODADDY.COM, LLC",6535
PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM,2377
"ENOM, INC.",2239
TUCOWS DOMAINS INC.,998
"NETWORK SOLUTIONS, LLC.",592
"WILD WEST DOMAINS, LLC",448
"ONLINENIC, INC.",360
"NAME.COM, INC.",354
"GoDaddy.com, LLC (R91-LROR)",299
"FASTDOMAIN, INC.",281
"LAUNCHPAD.COM, INC.",267
"MELBOURNE IT, LTD. D/B/A INTERNET NAMES WORLDWIDE",258
FBS INC.,248
"DOMAIN.COM, LLC",245
"GoDaddy.com, LLC",206
"REGISTER.COM, INC.",205
1 & 1 INTERNET AG,204
OVH,191
"GoDaddy.com, LLC (R171-LRMS)",180
EVOPLUS LTD,149
,144
"NAMESILO, LLC",135
PDR Ltd. d/b/a PublicDomainRegistry.com (R27-LROR),131
HICHINA ZHICHENG TECHNOLOGY LTD.,129
"eNom, Inc. (R39-LROR)",128
BIGROCK SOLUTIONS LIMITED,123
NETEARTH ONE INC. D/B/A NETEARTH,112
KEY-SYSTEMS GMBH,112
MONIKER ONLINE SERVICES LLC,112
"ASCIO TECHNOLOGIES, INC. DANMARK - FILIAL AF ASCIO TECHNOLOGIES, INC. USA",102
INTERNET.BS CORP.,100
XIN NET TECHNOLOGY CORPORATION,98
CV. JOGJACAMP,98
WEB COMMERCE COMMUNICATIONS LIMITED DBA WEBNIC.CC,97
REALTIME REGISTER BV,94
PDR Ltd. d/b/a PublicDomainRegistry.com,87
GANDI SAS,86
"DYNADOT, LLC",83
"DNC HOLDINGS, INC.",81
"eNom, Inc.",78
"IHS TELEKOM, INC.",75
CRAZY DOMAINS FZ-LLC,74
NICS TELEKOMUNIKASYON TICARET LTD.STI.,72
"GMO INTERNET, INC. DBA ONAMAE.COM",72
UNIVERSO ONLINE S/A (UOL),70
MARKMONITOR INC.,69
"Network Solutions, LLC (R63-LROR)",62
INTERNET DOMAIN SERVICE BS CORP,60
"DREAMHOST, LLC",58
MESH DIGITAL LIMITED,58
"DYNAMIC NETWORK SERVICES, INC",56
Tucows Inc. (R11-LROR),54
1&1 INTERNET SE,54
WEBFUSION LTD.,52
NET 4 INDIA LIMITED,51
REGISTER.IT SPA,50
"ARSYS INTERNET, S.L. D/B/A NICLINE.COM",49
"SOLUCIONES CORPORATIVAS IP,SLU",48
TLD REGISTRAR SOLUTIONS LTD,47
"TLDS, LLC DBA SRSPLUS",47
CSL COMPUTER SERVICE LANGENBACH GMBH D/B/A JOKER.COM,45
MAT BAO TRADING & SERVICE COMPANY LIMITED D/B/A MAT BAO,40
"GKG.NET, INC.",39
DATTATEC.COM SRL,38
NETREGISTRY PTY. LTD.,36
LIQUIDNET LTD.,36
CLOUD GROUP LIMITED,35
1 API GMBH,35
"CSC CORPORATE DOMAINS, INC.",34
ESTRATEGIAS WEBSITE S.L.,33
"BIZCN.COM, INC.",33
"PSI-USA, INC. DBA DOMAIN ROBOT",32
"eNom, Inc. (R126-LRMS)",32
"DOMAINSITE, INC.",32
FastDomain Inc. (R1455-LROR),30
VITALWERKS INTERNET SOLUTIONS LLC DBA NO-IP,30
"DOMAINPEOPLE, INC.",30
PT ARDH GLOBAL INDONESIA,30
"GABIA, INC.",30
"REG2C.COM, INC.",29
REGISTRAR OF DOMAIN NAMES REG.RU LLC,29
"EVERYONES INTERNET, LTD. DBA SOFTLAYER",29
"35 TECHNOLOGY CO., LTD",29
Tucows Inc.,29
"Wild West Domains, LLC (R120-LROR)",28
"GODADDY.COM, INC.",27
DINAHOSTING SL,27
"REGIONAL NETWORK INFORMATION CENTER, JSC DBA RU-CENTER",27
"NEW DREAM NETWORK, LLC",26
"Wild West Domains, LLC (R213-LRMS)",26
BEIJING INNOVATIVE LINKAGE TECHNOLOGY LTD. DBA DNS.COM.CN,25
CV. RUMAHWEB INDONESIA,25
OVH (R135-LROR),24
"THE REGISTRY AT INFO AVENUE, LLC D/B/A SPIRIT COMMUNICATIONS",23
CRONON AG,23
"Network Solutions, LLC",22
"Wild West Domains, LLC",22
P.A. VIET NAM COMPANY LIMITED,22
"DELUXE SMALL BUSINESS SALES, INC. D/B/A APLUS.NET",21
PDR Ltd. d/b/a PublicDomainRegistry.com (R159-LRMS),21
"Dynamic Network Services, Inc. (R1450-LROR)",21
"ADVANCED INTERNET TECHNOLOGIES, INC.",20
ONLINE SAS,20
"Name.com, LLC (R1288-LROR)",20
NETART REGISTRAR SP. Z O.O.,18
"OMNIS NETWORK, LLC",18
Launchpad.com Inc. (R1860-LROR),18
NOMINALIA INTERNET S.L.,18
"ACENS TECHNOLOGIES, S.L.U.",18
"INSTRA CORPORATION PTY, LTD.",17
"GoDaddy.com, LLC (146)",17
"INTERNET INVEST, LTD. DBA IMENA.UA",17
TIERRANET INC. D/B/A DOMAINDISCOVER,16
TPP WHOLESALE PTY LTD.,16
"ENAME TECHNOLOGY CO., LTD.",16
"CHENGDU WEST DIMENSION DIGITAL TECHNOLOGY CO., LTD.",16
"ASCIO TECHNOLOGIES, INC.",16
