registrarname,domains
"GODADDY.COM, LLC",73740556
"ENOM, INC.",18871790
TUCOWS DOMAINS INC.,13886524
,10535109
"GoDaddy.com, LLC",8920616
"NETWORK SOLUTIONS, LLC.",8774141
PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM,8667749
HICHINA ZHICHENG TECHNOLOGY LTD.,7850671
1 & 1 INTERNET AG,6728722
"WILD WEST DOMAINS, LLC",5409775
"GoDaddy.com, LLC (R91-LROR)",5226516
1&1 INTERNET SE,5191902
"GMO INTERNET, INC. DBA ONAMAE.COM",5043693
"ENAME TECHNOLOGY CO., LTD.",4371604
"REGISTER.COM, INC.",4064367
"GoDaddy.com, LLC (R171-LRMS)",4058833
"DOMAIN.COM, LLC",3618739
"FASTDOMAIN, INC.",3566600
XIN NET TECHNOLOGY CORPORATION,3167039
"MELBOURNE IT, LTD. D/B/A INTERNET NAMES WORLDWIDE",3133332
OVH,2819442
"CHENGDU WEST DIMENSION DIGITAL TECHNOLOGY CO., LTD.",2735343
Alpnames Limited,2388261
"GODADDY.COM, INC.",2384490
KEY-SYSTEMS GMBH,2326204
"NAME.COM, INC.",2235827
Uniregistrar Corp,2124321
PDR Ltd. d/b/a PublicDomainRegistry.com,2009564
"ASCIO TECHNOLOGIES, INC. DANMARK - FILIAL AF ASCIO TECHNOLOGIES, INC. USA",1908512
Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),1746213
"HANGZHOU AIMING NETWORK CO.,LTD",1724828
"BIZCN.COM, INC.",1711155
"22NET, INC.",1651415
"eNom, Inc.",1644735
"Chengdu West Dimension Digital Technology Co., Ltd.",1623244
Namecheap,1609137
Chengdu west dimension digital,1566312
MONIKER ONLINE SERVICES LLC,1560508
UNIREGISTRAR CORP,1486515
"ONLINENIC, INC.",1357096
GANDI SAS,1323004
"GoDaddy.com, Inc.",1269501
FABULOUS.COM PTY LTD.,1207541
WEBFUSION LTD.,1182469
"Network Solutions, LLC",1160112
MESH DIGITAL LIMITED,1137620
"ASCIO TECHNOLOGIES, INC.",1117400
GMO,1086481
"eNom, Inc. (R39-LROR)",1076907
"PSI-USA, INC. DBA DOMAIN ROBOT",1073245
xiamen eName Technology,1067320
CRONON AG,1041863
West263 International Limited,1032131
"LAUNCHPAD.COM, INC.",1019121
123-REG LIMITED,999755
"CSC CORPORATE DOMAINS, INC.",989128
REGISTER.IT SPA,973505
"DREAMHOST, LLC",964579
FBS INC.,958496
CRAZY DOMAINS FZ-LLC,951720
GOOGLE INC.,937578
"DYNADOT, LLC",893616
"GMO Internet, Inc. d/b/a Onamae.com",891618
BEIJING INNOVATIVE LINKAGE TECHNOLOGY LTD. DBA DNS.COM.CN,879067
"NAMESILO, LLC",863172
PDR Ltd. d/b/a PublicDomainRegistry.com (R27-LROR),847683
Tucows Inc. (R11-LROR),811023
MARKMONITOR INC.,809259
"GMO INTERNET, INC. D/B/A ONAMAE.COM",807816
"NEW DREAM NETWORK, LLC",801588
1 API GMBH,777704
"DNC HOLDINGS, INC.",768633
"35 TECHNOLOGY CO., LTD",767570
"Network Solutions, LLC (R63-LROR)",744339
Tucows Inc.,739256
REALTIME REGISTER BV,719804
Godaddy LLC,718001
"GABIA, INC.",689294
"SHANGHAI MEICHENG TECHNOLOGY INFORMATION DEVELOPMENT CO., LTD.",684912
BIGROCK SOLUTIONS LIMITED,675331
JIANGSU BANGNING SCIENCE & TECHNOLOGY CO. LTD,660813
1 & 1 Internet AG (R73-LROR),656915
INTERNET.BS CORP.,645275
1&1 Internet SE,641978
SHANGHAI YOVOLE NETWORKS INC.,633476
"ARSYS INTERNET, S.L. D/B/A NICLINE.COM",627230
1&1 Internet AG,626716
1&1 Internet AG (R113-LRMS),601309
"GMO Internet, Inc. d/b/a Onamae.com (R110-LRMS)",600970
UNITED-DOMAINS AG,596556
NICS TELEKOMUNIKASYON TICARET LTD.STI.,595531
WEB COMMERCE COMMUNICATIONS LIMITED DBA WEBNIC.CC,589441
TIERRANET INC. D/B/A DOMAINDISCOVER,561231
Tucows Domains Inc.,555308
"GoDaddy.com, LLC (146)",531490
CSL COMPUTER SERVICE LANGENBACH GMBH D/B/A JOKER.COM,518444
1 & 1 Internet AG,497089
"NAMEKING.COM, INC.",459815
"Wild West Domains, LLC",458721
"Wild West Domains, LLC (R213-LRMS)",428988
Network Solutions LLC,416643
REGISTRYGATE GMBH,414704
zdns,409228
"DOMAINPEOPLE, INC.",406562
"TURNCOMMERCE, INC. DBA NAMEBRIGHT.COM",393286
"IHS TELEKOM, INC.",389708
Mesh Digital Limited,384984
NETWORK SOLUTIONS INC.,381040
WEST263 INTERNATIONAL LIMITED,378011
"TLDS, LLC DBA SRSPLUS",373197
GUANGDONG JINWANBANG TECHNOLOGY INVESTMENT CO. LTD.,371416
INTERNET DOMAIN SERVICE BS CORP,364498
VAUTRON RECHENZENTRUM AG,363248
IREGISTRY CORP.,360715
"Wild West Domains, LLC (R120-LROR)",357437
"GMO Internet, Inc. d/b/a Onamae.com (49)",355905
UNIVERSO ONLINE S/A (UOL),351941
"Go Daddy, LLC",344801
Gandi SAS,332373
NICS TELEKOMUNIKASYON TIC LTD. STI.,329360
"Network Solutions, LLC (R122-LRMS)",328876
Key-Systems GmbH,322457
"Todaynic.com, Inc.",322099
ABOVE.COM PTY LTD.,316977
ANNULET LLC,315988
MEGAZONE CORP. DBA HOSTING.KR,313602
CLOUD GROUP LIMITED,300554
CV. JOGJACAMP,296051
"eNom, Inc. (R126-LRMS)",291962
ASIA Registry R6-ASIA (700001),290238
FastDomain Inc. (R1455-LROR),289146
EPAG DOMAINSERVICES GMBH,287171
Cronon AG,284502
"JAPAN REGISTRY SERVICES CO., LTD.",276761
"ACENS TECHNOLOGIES, S.L.U.",276748
Tucows Domains Inc. (R139-LRMS),276695
"REGIONAL NETWORK INFORMATION CENTER, JSC DBA RU-CENTER",272935
united-domains AG,272891
Knet Registrar Co. Ltd.,272419
"PSI-USA, Inc. dba Domain Robot",262615
"COREHUB, S.R.L.",259337
"NETOWL, INC.",258678
"Xiamen Nawang Technology Co., Ltd",258623
"GMO Internet, Inc. d/b/a Onamae.com (R43-LROR)",258452
"NameCheap, Inc.",254060
"Register.com, Inc.",253648
AlpNames Limited,252869
NETEARTH ONE INC. D/B/A NETEARTH,251108
"Domain.com, LLC (R1915-LROR)",250876
ACTIVE 24 AS,246694
NET 4 INDIA LIMITED,244222
ACRC DOMAINS,242912
"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",241435
HOSTOPIA.COM INC. D/B/A APLUS.NET,240816
REGISTRAR OF DOMAIN NAMES REG.RU LLC,239200
HOSTING CONCEPTS B.V. D/B/A OPENPROVIDER,238997
ONLINE SAS,237627
Enom,234973
"Domain.com, LLC",234399
"Register.com, Inc. (R71-LROR)",234306
FastDomain Inc.,228011
CORE INTERNET COUNCIL OF REGISTRARS,220108
"REG2C.COM, INC.",220095
"Melbourne IT, Ltd (R52-LROR)",219876
1&1 INTERNET AG,216849
"XIAMEN CHINASOURCE INTERNET SERVICE CO., LTD.",215579
"DELUXE SMALL BUSINESS SALES, INC. D/B/A APLUS.NET",209771
FOSHAN YIDONG NETWORK CO. LTD,208136
OVH (R135-LROR),207966
EURODNS S.A,205781
NETREGISTRY PTY. LTD.,205407
TLD REGISTRAR SOLUTIONS LTD,205029
"EPIK, INC.",204616
Key-Systems GmbH (R51-LROR),201957
