registrarname,domains
"GODADDY.COM, LLC",73740556
"ENOM, INC.",18577101
TUCOWS DOMAINS INC.,13799295
,9523953
"NETWORK SOLUTIONS, LLC.",8773951
PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM,8578259
"GoDaddy.com, LLC",8057849
HICHINA ZHICHENG TECHNOLOGY LTD.,7850671
1 & 1 INTERNET AG,6728722
"WILD WEST DOMAINS, LLC",5409775
"GoDaddy.com, LLC (R91-LROR)",5226516
1&1 INTERNET SE,5147610
"GMO INTERNET, INC. DBA ONAMAE.COM",5021423
"ENAME TECHNOLOGY CO., LTD.",4371604
"GoDaddy.com, LLC (R171-LRMS)",4051093
"REGISTER.COM, INC.",4029796
"DOMAIN.COM, LLC",3578408
"FASTDOMAIN, INC.",3566600
XIN NET TECHNOLOGY CORPORATION,3167039
"MELBOURNE IT, LTD. D/B/A INTERNET NAMES WORLDWIDE",3133332
OVH,2665643
KEY-SYSTEMS GMBH,2302896
"NAME.COM, INC.",2234960
"ASCIO TECHNOLOGIES, INC. DANMARK - FILIAL AF ASCIO TECHNOLOGIES, INC. USA",1907925
"HANGZHOU AIMING NETWORK CO.,LTD",1724828
"BIZCN.COM, INC.",1694603
"22NET, INC.",1651415
MONIKER ONLINE SERVICES LLC,1560506
"ONLINENIC, INC.",1357096
GANDI SAS,1308610
UNIREGISTRAR CORP,1218846
FABULOUS.COM PTY LTD.,1207541
WEBFUSION LTD.,1182469
MESH DIGITAL LIMITED,1134488
"ASCIO TECHNOLOGIES, INC.",1117400
"eNom, Inc.",1077209
"eNom, Inc. (R39-LROR)",1076903
"PSI-USA, INC. DBA DOMAIN ROBOT",1073233
"Network Solutions, LLC",1061267
"CHENGDU WEST DIMENSION DIGITAL TECHNOLOGY CO., LTD.",1056493
CRONON AG,1041863
"LAUNCHPAD.COM, INC.",1019121
123-REG LIMITED,999755
"CSC CORPORATE DOMAINS, INC.",988131
REGISTER.IT SPA,973505
"DREAMHOST, LLC",964579
FBS INC.,957851
CRAZY DOMAINS FZ-LLC,951565
"GODADDY.COM, INC.",948792
GOOGLE INC.,921835
"DYNADOT, LLC",890774
BEIJING INNOVATIVE LINKAGE TECHNOLOGY LTD. DBA DNS.COM.CN,879067
"NAMESILO, LLC",858561
PDR Ltd. d/b/a PublicDomainRegistry.com (R27-LROR),847334
Tucows Inc. (R11-LROR),810723
MARKMONITOR INC.,808566
"NEW DREAM NETWORK, LLC",801588
PDR Ltd. d/b/a PublicDomainRegistry.com,779770
1 API GMBH,777499
"GMO INTERNET, INC. D/B/A ONAMAE.COM",774302
"35 TECHNOLOGY CO., LTD",767570
"DNC HOLDINGS, INC.",757388
"Network Solutions, LLC (R63-LROR)",744339
Tucows Inc.,738769
REALTIME REGISTER BV,719804
"GABIA, INC.",687545
"SHANGHAI MEICHENG TECHNOLOGY INFORMATION DEVELOPMENT CO., LTD.",684289
BIGROCK SOLUTIONS LIMITED,675331
JIANGSU BANGNING SCIENCE & TECHNOLOGY CO. LTD,660813
1 & 1 Internet AG (R73-LROR),656915
SHANGHAI YOVOLE NETWORKS INC.,633476
"ARSYS INTERNET, S.L. D/B/A NICLINE.COM",627230
INTERNET.BS CORP.,619225
1&1 Internet AG (R113-LRMS),600650
NICS TELEKOMUNIKASYON TICARET LTD.STI.,595531
UNITED-DOMAINS AG,589529
WEB COMMERCE COMMUNICATIONS LIMITED DBA WEBNIC.CC,589441
"GMO Internet, Inc. d/b/a Onamae.com (R110-LRMS)",555215
TIERRANET INC. D/B/A DOMAINDISCOVER,552592
"GoDaddy.com, LLC (146)",531490
CSL COMPUTER SERVICE LANGENBACH GMBH D/B/A JOKER.COM,518444
1 & 1 Internet AG,497089
West263 International Limited,485891
"GMO Internet, Inc. d/b/a Onamae.com",476570
"NAMEKING.COM, INC.",459815
"Wild West Domains, LLC (R213-LRMS)",428847
"Wild West Domains, LLC",423357
REGISTRYGATE GMBH,413218
1&1 Internet SE,411771
"DOMAINPEOPLE, INC.",406562
"TURNCOMMERCE, INC. DBA NAMEBRIGHT.COM",393286
"IHS TELEKOM, INC.",389708
WEST263 INTERNATIONAL LIMITED,378011
"TLDS, LLC DBA SRSPLUS",373197
GUANGDONG JINWANBANG TECHNOLOGY INVESTMENT CO. LTD.,370826
INTERNET DOMAIN SERVICE BS CORP,364498
VAUTRON RECHENZENTRUM AG,363248
IREGISTRY CORP.,360715
1&1 Internet AG,359408
