scanned,registrarname,domains,total_apwg,legacy_apwg,apwg_legacy_2_legacy
31-12-2015,mindsandmachines,45612,110.0,103.0,9.94208494208
31-12-2015,shinjirumscsdnbhd,11058,35.0,35.0,0.316512931814
31-12-2015,mindsmachinesregistrar,4927,3.0,3.0,2.5641025641
31-12-2015,upperlink,2223,5.0,5.0,0.224921277553
31-12-2015,rethemhosting,1700,3.0,3.0,0.180831826401
31-12-2015,tecnologiadesarrolloymercadosderldecv,1313,0.0,0.0,0.0
31-12-2015,abughazalehintellectualpropertydbatagidomainscom,1171,10.0,10.0,0.853970964987
31-12-2015,vodieninternetsolutionspterasia,13,0.0,0.0,0.0
31-12-2015,internetdomainservicebsrasia,11,0.0,0.0,0.0
31-12-2015,reservedinternetassignednumbersauthority,2,0.0,0.0,0.0
