scanned,registrarname,domains,total_apwg,newgtld_apwg,apwg_newgtld_2_newgtld
31-12-2016,fbs,586062,220.0,0.0,0.0
31-12-2016,shanghaimeichengtechnologyinformationdevelopmentco,460475,107.0,34.0,0.0841855052368
31-12-2016,jiangsubangningsciencetechnologyco,431577,217.0,201.0,0.133792176153
31-12-2016,evoplus,93718,4.0,0.0,0.0
31-12-2016,cvrumahwebindonesia,90565,61.0,5.0,0.0502916918125
31-12-2016,domain,63266,14.0,4.0,0.0201217365059
31-12-2016,abnameisp,33137,13.0,5.0,0.362844702467
31-12-2016,znettechnologiespvt,30568,20.0,0.0,0.0
31-12-2016,eranetinternational,16676,47.0,46.0,0.297445845457
31-12-2016,webafrica,15093,20.0,1.0,0.0415627597672
