scanned,registrarname,domains,total_apwg,newgtld_apwg,apwg_newgtld_2_newgtld
30-06-2014,fbs,473887,198.0,0.0,0.0
30-06-2014,jiangsubangningsciencetechnologyco,403326,9.0,0.0,0.0
30-06-2014,shanghaimeichengtechnologyinformationdevelopmentco,201204,2.0,0.0,0.0
30-06-2014,evoplus,88663,13.0,0.0,0.0
30-06-2014,domain,30776,4.0,0.0,0.0
30-06-2014,cvrumahwebindonesia,23795,7.0,0.0,0.0
30-06-2014,abnameisp,23434,3.0,0.0,0.0
30-06-2014,webafrica,7253,11.0,0.0,0.0
30-06-2015,fbs,583074,0.0,0.0,0.0
30-06-2015,shanghaimeichengtechnologyinformationdevelopmentco,333949,0.0,0.0,0.0
30-06-2015,jiangsubangningsciencetechnologyco,259312,0.0,0.0,0.0
30-06-2015,domain,126495,0.0,0.0,0.0
30-06-2015,evoplus,96611,0.0,0.0,0.0
30-06-2015,cvrumahwebindonesia,67863,0.0,0.0,0.0
30-06-2015,abnameisp,25462,0.0,0.0,0.0
30-06-2015,eranetinternational,24510,0.0,0.0,0.0
30-06-2015,znettechnologiespvt,23876,0.0,0.0,0.0
30-06-2015,webafrica,10427,0.0,0.0,0.0
30-06-2016,fbs,619320,0.0,0.0,0.0
30-06-2016,shanghaimeichengtechnologyinformationdevelopmentco,464249,0.0,0.0,0.0
30-06-2016,jiangsubangningsciencetechnologyco,432189,0.0,0.0,0.0
30-06-2016,domain,146760,0.0,0.0,0.0
30-06-2016,cvrumahwebindonesia,87963,0.0,0.0,0.0
30-06-2016,evoplus,87754,0.0,0.0,0.0
30-06-2016,znettechnologiespvt,30892,0.0,0.0,0.0
30-06-2016,abnameisp,30333,0.0,0.0,0.0
30-06-2016,webafrica,13763,0.0,0.0,0.0
30-06-2016,eranetinternational,12794,0.0,0.0,0.0
31-12-2014,fbs,539667,446.0,1.0,0.0182748538012
31-12-2014,jiangsubangningsciencetechnologyco,292546,25.0,0.0,0.0
31-12-2014,shanghaimeichengtechnologyinformationdevelopmentco,258342,11.0,0.0,0.0
31-12-2014,evoplus,99454,605.0,19.0,inf
31-12-2014,domain,77714,14.0,2.0,0.00483360320951
31-12-2014,cvrumahwebindonesia,50371,38.0,0.0,0.0
31-12-2014,abnameisp,25147,2.0,0.0,0.0
31-12-2014,eranetinternational,22921,0.0,0.0,0.0
31-12-2014,znettechnologiespvt,21204,5.0,0.0,0.0
31-12-2014,webafrica,10608,9.0,0.0,0.0
31-12-2015,fbs,609046,267.0,8.0,0.0481782595604
31-12-2015,shanghaimeichengtechnologyinformationdevelopmentco,395194,102.0,13.0,0.0568654039631
31-12-2015,jiangsubangningsciencetechnologyco,328852,100.0,44.0,0.0460979161647
31-12-2015,domain,143620,15.0,7.0,0.0072922743562
31-12-2015,evoplus,96204,53.0,2.0,0.143575017947
31-12-2015,cvrumahwebindonesia,77518,42.0,1.0,0.065445026178
31-12-2015,abnameisp,30575,12.0,0.0,0.0
31-12-2015,eranetinternational,26955,3.0,0.0,0.0
31-12-2015,znettechnologiespvt,26883,20.0,0.0,0.0
31-12-2015,webafrica,11319,17.0,0.0,0.0
31-12-2016,fbs,586062,220.0,0.0,0.0
31-12-2016,shanghaimeichengtechnologyinformationdevelopmentco,460475,107.0,34.0,0.0841855052368
31-12-2016,jiangsubangningsciencetechnologyco,431577,217.0,201.0,0.133792176153
31-12-2016,evoplus,93718,4.0,0.0,0.0
31-12-2016,cvrumahwebindonesia,90565,61.0,5.0,0.0502916918125
31-12-2016,domain,63266,14.0,4.0,0.0201217365059
31-12-2016,abnameisp,33137,13.0,5.0,0.362844702467
31-12-2016,znettechnologiespvt,30568,20.0,0.0,0.0
31-12-2016,eranetinternational,16676,47.0,46.0,0.297445845457
31-12-2016,webafrica,15093,20.0,1.0,0.0415627597672
