scanned,registrarname,domains,total_apwg,apwg_ratio
31-12-2015,shinjirumscsdnbhd,11058,35.0,0.316512931814
31-12-2015,upperlink,2223,5.0,0.224921277553
31-12-2015,rethemhosting,1700,3.0,0.176470588235
31-12-2015,tecnologiadesarrolloymercadosderldecv,1313,0.0,0.0
31-12-2015,abughazalehintellectualpropertydbatagidomainscom,1171,10.0,0.853970964987
31-12-2015,sssasss,51,0.0,0.0
31-12-2015,azplrasia,23,0.0,0.0
31-12-2015,vodieninternetsolutionspterasia,13,0.0,0.0
31-12-2015,internetdomainservicebsrasia,11,0.0,0.0
31-12-2015,reservedinternetassignednumbersauthority,2,0.0,0.0
