united states,155928
india,27027
canada,14096
germany,9174
china,8085
australia,5406
united kingdom,4946
france,4056
turkey,3876
bahamas,2528
spain,1869
indonesia,1639
russian federation,1459
netherlands,1432
denmark,1333
united arab emirates,1313
cyprus,1214
malaysia,1194
japan,1191
israel,781
italy,764
vietnam,697
brazil,627
argentina,553
cayman islands,527
korea (south),454
mexico,417
hong kong,391
singapore,337
luxembourg,314
ukraine,277
lithuania,239
czech republic,181
monaco,178
panama,177
south africa,138
honduras,128
poland,128
sweden,125
ireland,99
barbados,64
norway,58
austria,57
nigeria,56
taiwan,45
greece,39
gibraltar,38
morocco,37
jordan,27
hungary,22
thailand,21
belgium,20
senegal,16
pakistan,14
new zealand,10
kuwait,7
burundi,4
switzerland,3
