united states,169251
india,34101
canada,17609
germany,9184
china,7329
australia,6502
united kingdom,4996
france,4281
turkey,3878
bahamas,2164
spain,2133
united arab emirates,1915
netherlands,1537
indonesia,1361
russian federation,1360
argentina,1307
malaysia,1253
denmark,1197
japan,1137
italy,1037
brazil,991
mexico,633
vietnam,453
korea (south),424
singapore,370
hong kong,324
monaco,266
ukraine,231
south africa,206
czech republic,199
panama,198
cayman islands,197
luxembourg,160
cyprus,117
poland,116
sweden,116
lithuania,114
ireland,93
barbados,78
israel,78
nigeria,74
norway,66
greece,65
morocco,47
austria,41
pakistan,41
taiwan,39
belgium,32
thailand,30
gibraltar,27
senegal,17
new zealand,12
hungary,12
kuwait,10
jordan,7
switzerland,5
burundi,2
costa rica,1
