united states,216414
india,48177
canada,21706
china,20226
germany,12229
turkey,6983
france,6966
united kingdom,6165
australia,5545
spain,3849
netherlands,3104
japan,2633
russian federation,2454
indonesia,2241
bahamas,2179
malaysia,1825
united arab emirates,1777
denmark,1555
brazil,1040
italy,1033
vietnam,1001
hong kong,831
argentina,794
ukraine,697
korea (south),659
cyprus,515
mexico,464
singapore,439
monaco,372
norway,358
israel,357
czech republic,323
poland,239
lithuania,206
luxembourg,168
panama,152
south africa,150
sweden,148
barbados,136
cayman islands,112
gibraltar,104
austria,97
ireland,93
taiwan,79
pakistan,77
belgium,70
morocco,65
thailand,50
hungary,40
nigeria,36
greece,30
senegal,20
kuwait,14
new zealand,10
burundi,6
jordan,6
switzerland,5
costa rica,3
ghana,2
honduras,1
