united states,215026
china,41962
india,30765
canada,17149
germany,14168
france,7576
spain,6333
turkey,5907
united kingdom,5762
japan,5134
australia,4430
bahamas,2841
russian federation,2799
korea (south),2466
hong kong,2396
ireland,1982
denmark,1742
cyprus,1702
netherlands,1645
malaysia,1622
indonesia,1577
israel,1117
united arab emirates,1059
italy,896
vietnam,873
brazil,851
ukraine,828
argentina,468
singapore,383
czech republic,356
poland,331
mexico,312
cayman islands,305
luxembourg,302
monaco,270
norway,172
lithuania,170
panama,142
south africa,128
sweden,125
austria,117
pakistan,115
barbados,111
taiwan,85
belgium,63
gibraltar,52
thailand,41
morocco,33
greece,32
hungary,24
nigeria,23
senegal,12
kuwait,11
switzerland,7
new zealand,4
united statesv,1
burundi,1
ghana,1
jordan,1
