united states,151517
india,24777
canada,12764
germany,9030
china,8620
australia,4746
united kingdom,4696
france,3783
turkey,3417
bahamas,2504
spain,1766
indonesia,1563
japan,1450
denmark,1412
russian federation,1380
netherlands,1342
united arab emirates,1268
cyprus,1233
malaysia,1169
israel,763
italy,721
vietnam,690
brazil,565
cayman islands,551
korea (south),489
hong kong,463
argentina,438
mexico,379
singapore,312
luxembourg,284
ukraine,279
lithuania,244
czech republic,190
panama,168
monaco,158
south africa,129
poland,123
honduras,123
sweden,123
ireland,117
pakistan,109
barbados,60
nigeria,55
norway,50
austria,46
taiwan,35
greece,34
gibraltar,32
morocco,32
jordan,30
hungary,24
belgium,20
thailand,19
senegal,11
burundi,10
new zealand,9
kuwait,7
switzerland,3
