country,domains
china,8076776
united states,6283269
gibraltar,3028035
cayman islands,2069919
singapore,1870886
japan,1741228
india,1323117
germany,1105708
hong kong,836069
france,450371
canada,438794
united kingdom,384001
russian federation,271388
lithuania,127360
australia,124591
united arab emirates,104873
denmark,84499
netherlands,77985
korea (south),72193
ireland,71895
turkey,59307
panama,50324
spain,46845
czech republic,40020
belgium,30994
luxembourg,27980
malaysia,27955
barbados,21322
indonesia,10822
austria,10767
norway,10413
switzerland,8405
vietnam,5401
south africa,5364
united statesv,4054
ukraine,3212
taiwan,2802
sweden,2599
ghana,2425
kuwait,2396
italy,2067
israel,2024
mexico,1551
new zealand,1406
argentina,1330
greece,750
brazil,167
cyprus,137
uruguay,56
jordan,30
pakistan,13
thailand,12
saudi arabia ,6
portugal,2
iraq,1
finland,1
philippines,1
qatar,1
tatarstan republic,1
