country,domains
United States,161144437
China,32108825
Germany,19293946
Canada,17452240
India,12451016
Japan,9513049
Australia,6595143
United Kingdom,4593416
Cayman Islands,3693627
Gibraltar,2981313
France,2902933
Turkey,2481739
Denmark,2468703
Spain,2315127
Hong Kong,2297356
Singapore,1934386
Korea (South),1798090
Netherlands,1315638
United Arab Emirates,1218920
Italy,1124150
Russian Federation,1065370
Bahamas,876423
Malaysia,686032
Vietnam,550292
Indonesia,531492
Brazil,512355
Norway,477180
Ireland,351543
Switzerland,288735
Luxembourg,277402
Lithuania,228900
Sweden,219654
Czech Republic,213525
Monaco,210538
Israel,209233
Argentina,198247
Ukraine,188721
Mexico,176644
Poland,172519
Panama,143954
Austria,100767
Belgium,100458
Barbados,94126
Taiwan,50797
Greece,46293
South Africa,43194
Hungary,20837
Thailand,14312
New Zealand,14240
Morocco,13709
Pakistan,11106
new zealand,7558
Senegal,7052
Latvia,6218
Kuwait,5497
Finland,4724
Nigeria,4519
Ghana,2680
Honduras,2027
Burundi,1540
Jordan,1395
NULL,853
Liechtenstein,590
Costa Rica,520
Philippines,195
Bulgaria,110
Uruguay,56
Saudi Arabia ,6
Portugal,2
Tatarstan Republic,1
Qatar,1
Iraq,1
Bangladesh,1
