united states,2118994
japan,1131316
china,390860
india,291398
turkey,92475
germany,74919
bahamas,73290
canada,70700
australia,40620
united kingdom,28631
ireland,21465
cayman islands,18859
france,17811
hong kong,14084
russian federation,11473
malaysia,10753
cyprus,9980
netherlands,8845
gibraltar,7604
ukraine,7552
united arab emirates,6921
indonesia,6042
panama,5816
singapore,5190
korea (south),4186
lithuania,4110
spain,3764
czech republic,3364
vietnam,3264
pakistan,3115
denmark,2140
sweden,1802
italy,1562
brazil,1005
mexico,788
israel,674
luxembourg,601
monaco,598
argentina,577
null,502
norway,391
south africa,361
poland,247
barbados,181
philippines,140
taiwan,133
morocco,123
senegal,111
nigeria,108
belgium,103
austria,75
hungary,63
burundi,60
thailand,58
greece,48
new zealand,28
switzerland,18
latvia,16
finland,15
honduras,6
costa rica,4
kuwait,3
jordan,3
ghana,2
liechtenstein,1
