gibraltar,1208509
japan,263899
china,228728
united states,221577
singapore,123290
india,75040
united kingdom,32352
france,25807
cayman islands,17891
hong kong,7592
australia,6935
lithuania,5257
canada,5101
russian federation,3602
germany,3097
ireland,2887
panama,1610
barbados,1209
united arab emirates,1208
czech republic,989
vietnam,756
turkey,726
netherlands,546
korea (south),268
ghana,133
indonesia,130
belgium,42
malaysia,31
denmark,23
luxembourg,21
spain,21
ukraine,11
kuwait,6
south africa,5
sweden,4
argentina,3
mexico,2
cyprus,2
greece,1
new zealand,1
brazil,1
