country,registrars
united states,2682
china,281
germany,201
canada,177
united kingdom,160
india,144
france,116
australia,111
spain,105
japan,95
korea (south),90
russian federation,62
netherlands,62
hong kong,59
denmark,56
sweden,43
turkey,42
italy,41
ireland,40
singapore,28
israel,24
vietnam,21
barbados,19
belgium,18
austria,16
united arab emirates,16
malaysia,15
indonesia,15
ukraine,14
czech republic,13
panama,12
norway,12
luxembourg,12
south africa,12
switzerland,11
cayman islands,11
taiwan,11
bahamas,10
mexico,9
brazil,8
monaco,8
pakistan,8
thailand,7
cyprus,6
ghana,6
new zealand,6
kuwait,6
lithuania,6
poland,5
argentina,5
greece,4
philippines,4
liechtenstein,4
gibraltar,4
latvia,4
morocco,3
nigeria,3
burundi,3
costa rica,2
hungary,2
jordan,2
senegal,2
null,1
honduras,1
finland,1
bulgaria,1
