date,total_count_newgtld,privacy_count_newgtld,total_count_legacygtld,privacy_count_legacygtld,newgtld_percent,legacygtld_percent
2014-02-01,2650,132,3246267,839828,4.98113207547,25.8705768811
2014-03-01,188887,28858,3187599,776455,15.2779174851,24.3586159991
2014-04-01,235535,21727,3686883,940309,9.22453138599,25.5041724948
2014-05-01,237663,27290,3563817,1038655,11.4826455948,29.1444538258
2014-06-01,219643,31827,3318173,838256,14.4903320388,25.2625767252
2014-07-01,518219,145978,3171336,751781,28.1691717208,23.7054982506
2014-08-01,387396,122669,3267101,761015,31.6650146104,23.2932804955
2014-09-01,324623,42238,3181426,759525,13.0114009174,23.8737283218
2014-10-01,379622,48327,3343115,778151,12.7302948723,23.2762259151
2014-11-01,559334,52964,3192472,755171,9.46911863037,23.6547415294
2014-12-01,332333,52731,3116178,738729,15.8669166168,23.7062516968
2015-01-01,306925,58155,2994327,707017,18.9476256414,23.6118834049
2015-02-01,557179,45831,3272353,777005,8.22554331732,23.7445348958
2015-03-01,290698,46445,2976422,694495,15.9770621057,23.3332168624
2015-04-01,370403,62153,3661073,874250,16.7798316968,23.8796112506
2015-05-01,499330,135994,3306682,824404,27.2352952957,24.9314569711
2015-06-01,649802,78959,3303581,817355,12.1512399162,24.7414850733
2015-07-01,518910,81690,3191588,796276,15.7426143262,24.9492102364
2015-08-01,568644,130929,3200726,807270,23.0247747272,25.22146538
2015-09-01,721386,166456,3212460,765190,23.0744705331,23.8194405533
2015-10-01,932027,193949,3924284,959665,20.8093756941,24.454524698
2015-11-01,1211760,171613,4122945,911135,14.1622928633,22.0991305972
2015-12-01,1774067,218468,6626060,1404757,12.3145292709,21.2004871673
2016-01-01,946038,160257,3188149,764536,16.9398058006,23.9805605071
2016-02-01,906254,167182,3728751,884872,18.4475875417,23.7310563242
2016-03-01,3485639,178780,4223394,833673,5.1290452052,19.7394086368
2016-04-01,1379280,203778,3723614,853272,14.7742300331,22.9151571565
2016-05-01,860574,210180,3291608,856933,24.4232337951,26.033871591
2016-06-01,1907730,575364,3332408,833797,30.1596137818,25.0208557896
2016-07-01,3852483,2026844,3071198,770635,52.6113677854,25.0923255355
2016-08-01,635118,160503,2981948,748099,25.2713668956,25.0875937474
2016-09-01,872397,180931,3168595,814588,20.7395256976,25.7081766524
2016-10-01,812120,185036,3024358,698384,22.7843175885,23.0919752225
2016-11-01,874340,257321,3266811,789588,29.4303131505,24.1699933054
2016-12-01,956875,108017,1569227,427820,11.2885173089,27.2631047006
2017-01-01,101851,6120,80207,23393,6.00877752796,29.1657835351
