date,total_count_newgtld,privacy_count_newgtld,total_count_legacygtld,privacy_count_legacygtld,newgtld_percent,legacygtld_percent
2014-02-01,2509,132,3234668,837230,5.26106018334,25.8830272535
2014-03-01,188698,28857,3180355,775165,15.2926899066,24.3735369165
2014-04-01,235475,21727,3679919,938843,9.22688183459,25.512599598
2014-05-01,237572,27289,3557799,1037709,11.4866230027,29.1671620572
2014-06-01,219553,31825,3309214,837714,14.495361029,25.3145913199
2014-07-01,515931,144588,3165308,751021,28.0246777185,23.7266326057
2014-08-01,386537,122585,3259548,760022,31.7136522506,23.3167911625
2014-09-01,322567,42098,3172790,758721,13.0509320544,23.9133696211
2014-10-01,378583,48047,3336653,777641,12.6912724554,23.3060195351
2014-11-01,555917,52554,3183532,754650,9.45356950768,23.7048033442
2014-12-01,327795,52580,3112120,738294,16.0405131256,23.7231854813
2015-01-01,304132,57909,2989172,706360,19.0407454658,23.6306241327
2015-02-01,554369,45743,3266917,775876,8.25136326165,23.7494861363
2015-03-01,288419,46339,2971418,694212,16.0665559481,23.3629869645
2015-04-01,369089,62059,3656613,873815,16.8141017478,23.8968411478
2015-05-01,497211,135943,3301172,824063,27.3411087044,24.9627405055
2015-06-01,648556,78878,3298350,817081,12.162095486,24.7724165113
2015-07-01,516069,81551,3184396,795277,15.8023442602,24.9741866275
2015-08-01,561298,129713,3191383,806103,23.1094712613,25.2587357895
2015-09-01,718031,166016,3207006,764528,23.1210073103,23.8393068176
2015-10-01,929657,193778,3914840,959049,20.8440317235,24.4977827957
2015-11-01,1209830,171304,4116636,910488,14.1593447013,22.1172821692
2015-12-01,1771543,218242,6618278,1403762,12.3193171151,21.2103813107
2016-01-01,942502,160070,3181018,763668,16.9835183374,24.0070317112
2016-02-01,900910,166982,3716138,883635,18.5348147984,23.7783150141
2016-03-01,3480775,178556,4217643,832566,5.12977713297,19.7400775741
2016-04-01,1367598,203416,3718025,852770,14.8739615004,22.9361018283
2016-05-01,851566,207422,3284877,855531,24.3577127316,26.0445368274
2016-06-01,1901981,574275,3326738,832602,30.1935192833,25.0275795689
2016-07-01,3790518,2017971,3063183,769409,53.2373411761,25.1179573666
2016-08-01,520938,156853,2972443,747222,30.1097251496,25.138312156
2016-09-01,658020,177267,3160857,813504,26.9394547278,25.7368175783
2016-10-01,757286,182727,3016690,697732,24.1291929337,23.1290586703
2016-11-01,802072,255808,3241088,775575,31.8933961041,23.9294644268
