,total_count_newgtld,privacy_count_newgtld,total_count_legacygtld,privacy_count_legacygtld,newgtld_percent,legacygtld_percent
2014-02-01,0,0.0,4312,863,,20.0139146568
2014-03-01,0,0.0,2808,577,,20.5484330484
2014-04-01,0,0.0,2837,516,,18.1882270004
2014-05-01,0,0.0,2171,452,,20.8198986642
2014-06-01,5,0.0,2903,539,0.0,18.5669996555
2014-07-01,3,0.0,2534,500,0.0,19.7316495659
2014-08-01,6,0.0,2827,513,0.0,18.1464449947
2014-09-01,4,0.0,2053,406,0.0,19.7759376522
2014-10-01,23,10.0,4671,1342,43.4782608696,28.7304645686
2014-11-01,37,17.0,11147,3151,45.9459459459,28.267695344
2014-12-01,44,15.0,12563,3384,34.0909090909,26.9362413436
2015-01-01,66,38.0,9529,2413,57.5757575758,25.322699129
2015-02-01,117,57.0,14346,2959,48.7179487179,20.6259584553
2015-03-01,315,136.0,14144,3357,43.1746031746,23.7344457014
2015-04-01,278,162.0,15359,3309,58.273381295,21.5443713783
2015-05-01,305,136.0,14592,3304,44.5901639344,22.6425438596
2015-06-01,431,158.0,16411,3744,36.6589327146,22.8139662422
2015-07-01,429,148.0,16966,4216,34.4988344988,24.8496993988
2015-08-01,560,166.0,10844,2529,29.6428571429,23.3216525267
2015-09-01,38,13.0,4085,719,34.2105263158,17.6009791922
2015-10-01,56,14.0,5472,928,25.0,16.9590643275
2015-11-01,144,27.0,6475,1132,18.75,17.4826254826
2015-12-01,201,17.0,6968,1157,8.45771144279,16.6044776119
2016-01-01,89,17.0,2297,394,19.1011235955,17.1528080104
2016-02-01,245,42.0,6476,1090,17.1428571429,16.8313773935
2016-03-01,239,58.0,6443,1036,24.2677824268,16.0794660872
2016-04-01,357,64.0,5459,872,17.9271708683,15.9736215424
2016-05-01,365,66.0,6134,998,18.0821917808,16.2699706554
2016-06-01,389,118.0,6861,1030,30.3341902314,15.0123888646
2016-07-01,381,171.0,6179,1092,44.8818897638,17.6727625829
2016-08-01,916,250.0,6830,1105,27.2925764192,16.1786237189
2016-09-01,501,163.0,5558,1086,32.5349301397,19.5394026628
2016-10-01,660,182.0,5286,1002,27.5757575758,18.9557321226
2016-11-01,747,125.0,5282,917,16.733601071,17.3608481636
2016-12-01,823,154.0,5883,1089,18.7120291616,18.510963794
2017-01-01,1092,,5526,984,,17.8067318132
