date,total_count_newgtld,privacy_count_newgtld,total_count_legacygtld,privacy_count_legacygtld,newgtld_percent,legacygtld_percent
2014-02-01,0,0,1367,252,,18.4345281639
2014-03-01,0,0,3477,654,,18.8093183779
2014-04-01,0,0,5569,998,,17.9206320704
2014-05-01,0,0,4970,980,,19.7183098592
2014-06-01,6,2,6782,1248,33.3333333333,18.4016514303
2014-07-01,6,0,6779,1213,0.0,17.8934946157
2014-08-01,4,0,7028,1275,0.0,18.1417188389
2014-09-01,8,1,4816,952,12.5,19.7674418605
2014-10-01,18,1,2698,459,5.55555555556,17.0126019274
2014-11-01,10,1,3934,706,10.0,17.9461108287
2014-12-01,38,4,7655,1323,10.5263157895,17.2828216852
2015-01-01,121,70,8390,1523,57.8512396694,18.1525625745
2015-02-01,33,10,8560,1525,30.303030303,17.8154205607
2015-03-01,40,14,6751,1094,35.0,16.2050066657
2015-04-01,53,15,9626,1728,28.3018867925,17.9513816746
2015-05-01,72,16,9430,1468,22.2222222222,15.5673382821
2015-06-01,106,35,10201,1862,33.0188679245,18.25311244
2015-07-01,82,17,7189,1317,20.7317073171,18.3196550285
2015-08-01,119,32,8276,1510,26.8907563025,18.2455292412
2015-09-01,103,27,7881,1424,26.213592233,18.0687729984
2015-10-01,164,29,8664,1529,17.6829268293,17.6477377655
2015-11-01,116,28,6697,1065,24.1379310345,15.9026429745
2015-12-01,159,46,7491,1264,28.9308176101,16.8735816313
2016-01-01,8,2,177,38,25.0,21.4689265537
2016-02-01,364,69,11150,2075,18.956043956,18.6098654709
2016-03-01,354,78,10540,1868,22.0338983051,17.7229601518
2016-04-01,376,99,9330,1590,26.329787234,17.0418006431
2016-05-01,357,121,10366,1701,33.893557423,16.4094153965
2016-06-01,642,245,17141,2486,38.1619937695,14.5032378508
2016-07-01,894,309,18245,3352,34.5637583893,18.3721567553
2016-08-01,594,246,8956,1652,41.4141414141,18.445734703
2016-09-01,814,212,9059,1653,26.0442260442,18.2470471354
2016-10-01,928,205,9201,1705,22.0905172414,18.5305945006
2016-11-01,780,111,5633,1006,14.2307692308,17.8590449139
2016-12-01,1024,200,9919,1792,19.53125,18.0663373324
2017-01-01,758,162,5747,1111,21.3720316623,19.3318253002
