date,total_count_newgtld,privacy_count_newgtld,total_count_legacygtld,privacy_count_legacygtld,newgtld_percent,legacygtld_percent
2014-02-01,0,0,11967,2094,,17.4981198295
2014-03-01,0,0,18267,3030,,16.5872885531
2014-04-01,0,0,16960,2562,,15.1061320755
2014-05-01,3,1,17714,3422,33.3333333333,19.318053517
2014-06-01,15,1,20566,3862,6.66666666667,18.7785665662
2014-07-01,25,12,23985,3981,48.0,16.597873671
2014-08-01,13,2,20033,3649,15.3846153846,18.2149453402
2014-09-01,12,2,12647,2464,16.6666666667,19.4828813157
2014-10-01,38,4,11077,1751,10.5263157895,15.8075291144
2014-11-01,19,3,10016,2056,15.7894736842,20.5271565495
2014-12-01,59,11,15893,2737,18.6440677966,17.2214182344
2015-01-01,97,23,14867,2570,23.7113402062,17.2866079236
2015-02-01,83,14,14639,3003,16.8674698795,20.5136962907
2015-03-01,50,17,11347,1908,34.0,16.8150171852
2015-04-01,34,10,9996,1662,29.4117647059,16.6266506603
2015-05-01,82,11,13314,2204,13.4146341463,16.5540033048
2015-06-01,91,38,11221,2004,41.7582417582,17.8593708226
2015-07-01,113,18,11664,2032,15.9292035398,17.4211248285
2015-08-01,175,38,10694,1948,21.7142857143,18.2158219562
2015-09-01,149,36,10515,1820,24.1610738255,17.3086067523
2015-10-01,237,31,12165,2185,13.0801687764,17.9613645705
2015-11-01,117,26,7496,1177,22.2222222222,15.7017075774
2015-12-01,158,34,5175,875,21.5189873418,16.9082125604
2016-01-01,0,0,58,9,,15.5172413793
2016-02-01,200,73,4256,954,36.5,22.4154135338
2016-03-01,468,152,4415,881,32.4786324786,19.9546998867
2016-04-01,422,97,4126,788,22.9857819905,19.0984003878
2016-05-01,187,112,3669,822,59.8930481283,22.4039247751
2016-06-01,227,156,5110,987,68.7224669604,19.3150684932
2016-07-01,376,226,4404,908,60.1063829787,20.6176203451
2016-08-01,499,228,4718,953,45.6913827655,20.1992369648
2016-09-01,324,63,3617,756,19.4444444444,20.9012994194
2016-10-01,361,80,3240,585,22.1606648199,18.0555555556
2016-11-01,504,88,3680,803,17.4603174603,21.8206521739
2016-12-01,1140,301,7242,1597,26.4035087719,22.0519193593
2017-01-01,1264,306,11734,2744,24.2088607595,23.3850349412
