date,total_count_newgtld,privacy_count_newgtld,total_count_legacygtld,privacy_count_legacygtld,newgtld_percent,legacygtld_percent
2014-02-01,0,0,10321,2068,,20.0368181378
2014-03-01,0,0,7173,1455,,20.2843998327
2014-04-01,0,0,19040,3990,,20.9558823529
2014-05-01,0,0,12146,3044,,25.0617487239
2014-06-01,0,0,13972,3094,,22.1442885772
2014-07-01,5,3,11940,2425,60.0,20.3098827471
2014-08-01,3,3,16497,3706,100.0,22.4646905498
2014-09-01,15,7,16272,3344,46.6666666667,20.5506391347
2014-10-01,26,4,15288,3283,15.3846153846,21.4743589744
2014-11-01,50,4,14963,3166,8.0,21.1588585177
2014-12-01,46,7,13533,3110,15.2173913043,22.9808615976
2015-01-01,60,26,10234,2508,43.3333333333,24.5065468048
2015-02-01,74,17,7243,1850,22.972972973,25.5419025266
2015-03-01,17,7,2197,538,41.1764705882,24.4879380974
2015-04-01,25,9,2907,691,36.0,23.7702098383
2015-05-01,196,107,8441,1845,54.5918367347,21.8575998104
2015-06-01,283,110,13009,2876,38.8692579505,22.1077715428
2015-07-01,277,18,8044,1617,6.49819494585,20.1019393337
2015-08-01,300,41,7332,1519,13.6666666667,20.7174031642
2015-09-01,180,73,8138,1698,40.5555555556,20.8650774146
2015-10-01,224,54,16475,3298,24.1071428571,20.0182094082
2015-11-01,237,49,14927,2901,20.6751054852,19.4345816306
2015-12-01,306,33,9199,1952,10.7843137255,21.2196977932
2016-01-01,11,0,456,96,0.0,21.0526315789
2016-02-01,450,69,15974,3410,15.3333333333,21.3471891824
2016-03-01,328,82,14265,2937,25.0,20.5888538381
2016-04-01,886,135,23365,4524,15.237020316,19.3622940295
2016-05-01,230,64,5791,1303,27.8260869565,22.5004317044
2016-06-01,1262,151,13695,2825,11.9651347068,20.6279664111
2016-07-01,441,74,6518,1389,16.7800453515,21.3102178582
2016-08-01,1120,152,9833,2086,13.5714285714,21.2142784501
2016-09-01,681,148,8180,1556,21.7327459618,19.02200489
2016-10-01,734,159,7450,1321,21.6621253406,17.7315436242
2016-11-01,453,174,6756,1501,38.4105960265,22.2172883363
2016-12-01,239,74,6375,1308,30.9623430962,20.5176470588
2017-01-01,348,67,7948,1456,19.2528735632,18.3190739809
