date,total_count_newgtld,privacy_count_newgtld,total_count_legacygtld,privacy_count_legacygtld,newgtld_percent,legacygtld_percent
2014-02-01,0,0,0,0,,
2014-03-01,0,0,0,0,,
2014-04-01,0,0,0,0,,
2014-05-01,0,0,0,0,,
2014-06-01,0,0,0,0,,
2014-07-01,0,0,0,0,,
2014-08-01,7,0,1865,384,0.0,20.5898123324
2014-09-01,4,1,1978,389,25.0,19.6663296259
2014-10-01,14,6,3445,878,42.8571428571,25.4862119013
2014-11-01,24,11,9091,2412,45.8333333333,26.5317346827
2014-12-01,32,7,9937,2573,21.875,25.8931266982
2015-01-01,42,23,7690,1860,54.7619047619,24.1872561769
2015-02-01,132,69,16993,3938,52.2727272727,23.1742482199
2015-03-01,307,137,15972,3771,44.6254071661,23.6100676183
2015-04-01,278,162,16364,3532,58.273381295,21.5839648008
2015-05-01,332,141,17570,4020,42.4698795181,22.8799089357
2015-06-01,455,160,17598,4023,35.1648351648,22.8605523355
2015-07-01,427,152,17086,4085,35.5971896956,23.9084630692
2015-08-01,553,153,10724,2478,27.6672694394,23.1070496084
2015-09-01,43,13,4927,888,30.2325581395,18.0231378121
2015-10-01,44,12,4447,756,27.2727272727,17.0002248707
2015-11-01,124,24,5347,936,19.3548387097,17.5051430709
2015-12-01,183,15,6328,1062,8.19672131148,16.7825537295
2016-01-01,179,22,3676,601,12.2905027933,16.3492927095
2016-02-01,182,27,5770,960,14.8351648352,16.6377816291
2016-03-01,160,39,5345,844,24.375,15.7904583723
2016-04-01,285,59,4762,723,20.701754386,15.1826963461
2016-05-01,270,53,5242,849,19.6296296296,16.1961083556
2016-06-01,345,111,6264,959,32.1739130435,15.309706258
2016-07-01,606,197,6728,1414,32.5082508251,21.016646849
2016-08-01,916,251,6748,1134,27.4017467249,16.8049792531
2016-09-01,3196,1979,9139,2186,61.9211514393,23.9194660247
2016-10-01,2611,1812,4466,1053,69.3986978169,23.5781459919
2016-11-01,6554,4515,11847,3215,68.8892279524,27.1376719845
2016-12-01,4804,2813,8146,1793,58.5553705246,22.010802848
2017-01-01,4179,2926,4703,887,70.0167504188,18.8603019349
