date,total_count_newgtld,privacy_count_newgtld,total_count_legacygtld,privacy_count_legacygtld,newgtld_percent,legacygtld_percent
2014-02-01,0,0,98323,20268,,20.6136916083
2014-03-01,1,0,72491,16622,0.0,22.9297430026
2014-04-01,3,1,101732,18483,33.3333333333,18.1683246176
2014-05-01,9,2,93999,12242,22.2222222222,13.0235428036
2014-06-01,30,2,98933,12889,6.66666666667,13.0280088545
2014-07-01,333,54,80780,11149,16.2162162162,13.801683585
2014-08-01,491,178,100426,17920,36.2525458248,17.8439846255
2014-09-01,301,165,87316,16170,54.8172757475,18.5189426909
2014-10-01,904,279,104651,17123,30.8628318584,16.3620032298
2014-11-01,2887,256,92680,12697,8.8673363353,13.699827363
2014-12-01,3798,354,106289,30223,9.32069510269,28.4347392487
2015-01-01,4073,315,102383,18767,7.73385710778,18.3301915357
2015-02-01,4804,559,64891,13826,11.6361365529,21.3064985899
2015-03-01,4885,565,71400,11834,11.5660184237,16.5742296919
2015-04-01,9191,659,83350,16169,7.17005766511,19.398920216
2015-05-01,11279,862,89954,20134,7.64252150013,22.3825510817
2015-06-01,19266,820,89217,18876,4.25620263677,21.1574027371
2015-07-01,20889,2015,78185,17634,9.64622528604,22.5541983756
2015-08-01,33663,4722,68687,16386,14.0272702968,23.8560426282
2015-09-01,29646,4235,85725,19859,14.2852324091,23.1659375911
2015-10-01,63836,14821,78565,16858,23.2173068488,21.4573919684
2015-11-01,118847,14332,76926,15649,12.0592021675,20.3429269688
2015-12-01,74556,21338,91014,20094,28.6200976447,22.0779220779
2016-01-01,53664,5670,97573,17044,10.5657423971,17.4679470755
2016-02-01,88091,7932,90821,11351,9.00432507294,12.4982107662
2016-03-01,96011,5881,73431,10525,6.12533980481,14.3331835328
2016-04-01,165708,5808,90584,18005,3.50496053299,19.8765786452
2016-05-01,118679,10133,62393,13751,8.53815755104,22.0393313352
2016-06-01,136800,8170,66323,14366,5.97222222222,21.6606607059
2016-07-01,139899,16291,81007,22751,11.6448294841,28.0852272026
2016-08-01,110967,10740,84796,17006,9.67855308335,20.0551912826
2016-09-01,132737,9050,79590,22517,6.81799347582,28.2912426184
2016-10-01,113690,8504,78623,19078,7.47998944498,24.2651641377
2016-11-01,264986,10204,76210,14941,3.85076947461,19.6050387088
2016-12-01,199354,9029,72932,17496,4.52912908695,23.989469643
2017-01-01,124539,4568,78626,25875,3.66792731594,32.9089614123
