date,total_count_newgtld,privacy_count_newgtld,total_count_legacygtld,privacy_count_legacygtld,newgtld_percent,legacygtld_percent
2014-02-01,0,0,35140,6020,,17.1314741036
2014-03-01,0,0,28922,5235,,18.1004079939
2014-04-01,0,0,60757,9801,,16.1314745626
2014-05-01,1,1,26368,5362,100.0,20.3352548544
2014-06-01,2,0,38643,6429,0.0,16.6369070724
2014-07-01,4,3,28062,4913,75.0,17.5076616064
2014-08-01,18,9,19946,4580,50.0,22.961997393
2014-09-01,20,16,31801,6441,80.0,20.2540800604
2014-10-01,27,2,34587,7394,7.40740740741,21.3779743834
2014-11-01,40,9,22389,4642,22.5,20.733395864
2014-12-01,59,15,24088,4786,25.4237288136,19.8688143474
2015-01-01,117,27,50016,9543,23.0769230769,19.0798944338
2015-02-01,116,42,20861,3721,36.2068965517,17.8371123148
2015-03-01,192,30,23978,4339,15.625,18.0957544416
2015-04-01,205,69,23087,4187,33.6585365854,18.1357473903
2015-05-01,392,31,21349,4074,7.90816326531,19.0828610239
2015-06-01,454,36,21512,4301,7.9295154185,19.9934920045
2015-07-01,769,65,32290,5231,8.45253576073,16.2000619387
2015-08-01,1046,121,21806,3945,11.5678776291,18.0913510043
2015-09-01,1060,178,35283,6130,16.7924528302,17.3738060822
2015-10-01,2710,150,59387,10188,5.53505535055,17.1552696718
2015-11-01,9735,240,50932,8432,2.46533127889,16.5554072096
2015-12-01,4328,260,40892,6954,6.00739371534,17.0057713
2016-01-01,3545,125,26994,4221,3.52609308886,15.6368081796
2016-02-01,7400,189,21501,3148,2.55405405405,14.64117948
2016-03-01,5140,424,29528,4672,8.24902723735,15.8222703874
2016-04-01,4601,280,25623,4730,6.08563355792,18.4599773641
2016-05-01,4571,378,26145,4719,8.26952526799,18.049340218
2016-06-01,16423,437,51099,8215,2.66090239299,16.0766355506
2016-07-01,34709,640,43085,8030,1.84390215794,18.6375768829
2016-08-01,17827,241,30256,4954,1.35188197678,16.3736118456
2016-09-01,4250,338,18450,3168,7.95294117647,17.1707317073
2016-10-01,3106,310,25743,3586,9.9806825499,13.9300003885
2016-11-01,2314,204,11917,1973,8.81590319793,16.5561802467
2016-12-01,2947,196,27284,4051,6.65083135392,14.8475296877
2017-01-01,860,71,20630,2925,8.25581395349,14.1783809985
