date,total_count_newgtld,privacy_count_newgtld,total_count_legacygtld,privacy_count_legacygtld,newgtld_percent,legacygtld_percent
2014-02-01,0,0,0,0,,
2014-03-01,0,0,0,0,,
2014-04-01,0,0,0,0,,
2014-05-01,0,0,0,0,,
2014-06-01,0,0,0,0,,
2014-07-01,0,0,0,0,,
2014-08-01,630,59,635190,134500,9.36507936508,21.1747666053
2014-09-01,2010,913,214485,52727,45.4228855721,24.5830710772
2014-10-01,402,101,112464,18776,25.1243781095,16.6951202162
2014-11-01,3235,226,85825,22327,6.98608964451,26.0145645208
2014-12-01,1895,195,519673,62751,10.290237467,12.075093376
2015-01-01,1408,127,122036,19877,9.01988636364,16.2878167098
2015-02-01,3016,862,102911,22182,28.5809018568,21.554547133
2015-03-01,4096,1096,79394,15113,26.7578125,19.0354434844
2015-04-01,6628,1029,168130,37495,15.5250452625,22.3011955035
2015-05-01,9179,1986,123856,21920,21.6363438283,17.6979718383
2015-06-01,5123,259,105665,26360,5.05563146594,24.9467657219
2015-07-01,71929,6582,75220,21660,9.15069026401,28.7955331029
2015-08-01,20167,582,109064,25391,2.88590271235,23.2808259371
2015-09-01,9513,952,75194,17548,10.0073583517,23.3369683751
2015-10-01,68037,29580,92604,11116,43.4763437541,12.0038011317
2015-11-01,84305,8021,177463,28663,9.51426368543,16.1515358131
2015-12-01,43347,20165,77886,21185,46.5199437101,27.2000102714
2016-01-01,33417,6335,108877,18511,18.9574168836,17.0017542732
2016-02-01,70770,6627,97002,12939,9.36413734633,13.3389002289
2016-03-01,39164,6308,47132,8175,16.1066285364,17.3449036748
2016-04-01,44076,1308,89205,16391,2.96760141574,18.3745305756
2016-05-01,37431,4561,84446,25207,12.1850872272,29.8498448713
2016-06-01,41859,2772,102839,17059,6.62223177811,16.5880648392
2016-07-01,67981,4477,79038,22969,6.58566364131,29.0607049774
2016-08-01,81519,3227,68277,16703,3.95858634183,24.4635821726
2016-09-01,162108,5220,206434,45341,3.22007550522,21.963920672
2016-10-01,72144,5077,71668,23708,7.03731426037,33.0803147848
2016-11-01,168126,7357,68144,19360,4.3758847531,28.4104249824
2016-12-01,69602,2549,35328,8172,3.66225108474,23.1317934783
2017-01-01,15986,1132,27828,4834,7.08119604654,17.3709932442
