date,total_count_newgtld,privacy_count_newgtld,total_count_legacygtld,privacy_count_legacygtld,newgtld_percent,legacygtld_percent
2014-02-01,0,0,0,0,,
2014-03-01,0,0,0,0,,
2014-04-01,0,0,0,0,,
2014-05-01,0,0,0,0,,
2014-06-01,0,0,0,0,,
2014-07-01,0,0,0,0,,
2014-08-01,2394,1271,680963,138819,53.0910609858,20.3856890903
2014-09-01,3883,993,222006,53024,25.5730105588,23.8840391701
2014-10-01,1432,440,118390,19001,30.7262569832,16.0494974238
2014-11-01,5786,698,93875,22715,12.0636017974,24.1970705726
2014-12-01,4019,222,521773,63010,5.52376212988,12.0761327244
2015-01-01,2115,194,127009,20149,9.17257683215,15.8642300939
2015-02-01,4877,947,105676,22812,19.4176748001,21.5867368182
2015-03-01,4840,1118,82623,15195,23.0991735537,18.3907628626
2015-04-01,7151,1088,171217,37725,15.214655293,22.0334429408
2015-05-01,10004,1998,127868,22041,19.9720111955,17.2373072231
2015-06-01,6162,275,111564,26490,4.46283674132,23.7442185651
2015-07-01,73469,6628,80115,22196,9.02149205787,27.7051738126
2015-08-01,23507,1143,120968,26737,4.8623814183,22.1025395146
2015-09-01,10467,1106,78809,17803,10.5665424668,22.590059511
2015-10-01,69350,29669,97290,11357,42.7815428983,11.6733477233
2015-11-01,89146,8686,184165,28927,9.74356673322,15.7071104716
2015-12-01,44387,20345,81462,21686,45.8354923739,26.621001203
2016-01-01,34015,6420,115560,18730,18.8740261649,16.2080304604
2016-02-01,73140,6682,108872,13668,9.13590374624,12.5541920788
2016-03-01,42090,6361,51429,8877,15.1128534094,17.2606894943
2016-04-01,46963,1416,92545,16549,3.01513957797,17.8821114053
2016-05-01,40776,4737,88872,25561,11.6171277222,28.761589702
2016-06-01,43874,3263,107699,18566,7.43720654602,17.2387858754
2016-07-01,82772,6814,84631,23684,8.23225245252,27.9850173104
2016-08-01,100905,4686,75630,17059,4.64397205292,22.5558640751
2016-09-01,246498,7308,218149,46358,2.96472993696,21.2506131131
2016-10-01,107154,6849,77646,24023,6.39173525953,30.9391340185
2016-11-01,196345,8014,86570,28915,4.08159107693,33.4007161834
2016-12-01,86472,7933,58610,18942,9.17406790637,32.3187169425
2017-01-01,61461,4865,67065,22483,7.91558874734,33.5241929471
