date,total_count_newgtld,abused_count_newgtld,total_count_legacygtld,abused_count_legacygtld,newgtld_percent,legacygtld_percent
2014-02-01,132,0,839828,35864,0.0,4.2703982244
2014-03-01,28858,28,776455,31326,0.0970268209855,4.03449008635
2014-04-01,21727,49,940309,38923,0.225525843421,4.13938396846
2014-05-01,27290,213,1038655,34409,0.780505679736,3.31284208905
2014-06-01,31827,479,838256,39543,1.50501146825,4.71729400088
2014-07-01,145978,1853,751781,48204,1.26936935703,6.41197369979
2014-08-01,122669,759,761015,41289,0.618738230523,5.42551723685
2014-09-01,42238,1424,759525,42056,3.37137175056,5.53714492611
2014-10-01,48327,879,778151,37784,1.81885902291,4.85561285663
2014-11-01,52964,6428,755171,28404,12.1365455781,3.76126731561
2014-12-01,52731,2536,738729,50936,4.80931520358,6.89508601937
2015-01-01,58155,1475,707017,40192,2.53632533746,5.68472893863
2015-02-01,45831,3635,777005,31062,7.93131286684,3.99765767273
2015-03-01,46445,2066,694495,21490,4.44827214985,3.09433473243
2015-04-01,62153,3006,874250,34349,4.8364519814,3.92896768659
2015-05-01,135994,5515,824404,34667,4.05532597026,4.20509847114
2015-06-01,78959,3951,817355,36713,5.00386276422,4.4916835402
2015-07-01,81690,10712,796276,30239,13.1129881258,3.79755260739
2015-08-01,130929,7546,807270,33422,5.76342903406,4.14012659953
2015-09-01,166456,10819,765190,27020,6.49961551401,3.53114912636
2015-10-01,193949,8242,959665,34229,4.24957076345,3.56676548587
2015-11-01,171613,7172,911135,30042,4.17917057566,3.29720623179
2015-12-01,218468,24135,1404757,57800,11.047384514,4.11459063738
2016-01-01,160257,7554,764536,26080,4.71367865366,3.41121935396
2016-02-01,167182,9748,884872,19993,5.83077125528,2.25942283178
2016-03-01,178780,6968,833673,18644,3.89752768766,2.23636845622
2016-04-01,203778,6280,853272,26737,3.08178507984,3.13346740547
2016-05-01,210180,10882,856933,24543,5.1774669331,2.86405121521
2016-06-01,575364,12853,833797,26161,2.2338901982,3.13757425369
2016-07-01,2026844,22699,770635,35631,1.1199184545,4.62358963712
2016-08-01,160503,9951,748099,29550,6.19988411432,3.95001196366
2016-09-01,180931,10842,814588,39078,5.99233962118,4.79727174965
2016-10-01,185036,10082,698384,32013,5.44866944811,4.58386790075
2016-11-01,257321,11357,789588,38386,4.41355349933,4.86152271818
2016-12-01,108017,10449,427820,54579,9.67347732301,12.7574680941
2017-01-01,6120,5916,23393,22808,96.6666666667,97.499251913
