registrant_name,registrant_organization,domains
registration private,"domains by proxy, llc",18534812
"perfect privacy, llc",,4884019
whoisguard protected,"whoisguard, inc.",4823913
domain admin,privacy protection service inc d/b/a privacyprotect.org,4111727
yinsi baohu yi kaiqi (hidden by whois privacy protection service),yinsi baohu yi kaiqi (hidden by whois privacy protection service),3195625
whois privacy protection service by onamae.com,whois privacy protection service by onamae.com,2875040
whoisguard protected,"whoisguard, inc.",2494143
whois agent,"whois privacy protection service, inc.",2339119
whois agent,"whois privacy protection service, inc.",1630216
whois privacy protection service by value-domain,whois privacy protection service by value-domain,1445774
whois privacy protection service by muumuudomain,whois privacy protection service by muumuudomain,1378890
domain admin,privacyprotect.org,1341712
domain privacy service fbo registrant,,1283537
oneandone private registration,1&1 internet inc,1004280
private registrant,a happy dreamhost customer,976815
oneandone private registration,"1&1 internet, inc. - http://1and1.com/contact",882881
domain administrator,see privacyguardian.org,770811
domain admin,whois privacy corp.,768306
domain privacy service fbo registrant,,761968
domain privacy service fbo registrant.,domain privacy service fbo registrant.,745718
whois agent,domain whois protection service,728024
"perfect privacy, llc",,619811
private registrant|a happy dreamhost customer,,583126
domain admin,information privacy protection services limited,517932
oneandone private registration,1&1 internet inc. - www.1and1.com,510977
moniker privacy services,moniker privacy services,489797
moniker privacy services|moniker privacy services,,467270
domain admin domain admin,whoisprotection biz,432714
domain administrator,fundacion private whois,412853
domain privacy group,domain privacy group,380818
above.com domain privacy,above.com domain privacy,301138
identity protection service,identity protect limited,289206
domain id shield service,"domain id shield service co., limited",240990
private registration,,202855
whois privacy protection service,whois privacy protection service,184179
vietnam domain privacy services|viet nam dich vu bao mat ten mien,,177001
domain admin,"whois protection, this company does not own this domain name s.r.o.",173353
domain whois protection service|whois agent,,172229
whois whois privacy protection service by onamae.com,whois privacy protection service by onamae.com,164573
super privacy service c/o dynadot,,155065
xiamen privacyprotection service co. ltd.,xiamen privacy protection service co. ltd.,154302
private registrant,a happy dreamhost customer,139217
private registration,,138150
whoisprotectservice.net,"protectservice, ltd.",134698
domain administrator see privacyguardian.org,privacyguardian.org,127547
yinsi baohu yi kai qi(hidden by whois privacy protection service),yinsi baohu yi kai qi(hidden by whois privacy protection service),125327
whois privacy services provided by domainprotect llc,"whois privacy services, provided by domainprotect",123302
domain admin,privatewhois biz,119859
admin contact,privatename services inc.,119119
domain privacy service,,115169
whois data protection sp. z o.o.,whois data protection sp. z o.o.,113572
whois agent,yourjungle privacy protection service,107684
"whoisprotectservice.net protectservice, ltd.",,104606
domain admin,whoisprotection.biz,104121
domain discreet privacy service,,95658
whois privacy shield services,,93021
protection of private person,,89627
privacy administrator,"anonymize, inc.",88302
privacy protection service,communigal communication ltd,87091
protection of private person,privacy protection,84847
whois whois privacy protection service by value-domain,whois privacy protection service by value-domain,77576
privacy manager,proxytech privacy services inc.,77303
direct privacy,"domain name proxy service, inc",74338
domain administrator,united privacy corp,70675
privacy protection service - whoisproxy.ru,privacy protection service - whoisproxy.ru,69160
whois privacy,whois privacy (enumdns dba),68465
domainmonster.com privacy service,identity protect limited,68359
domain admin,whois idcprivacy service c/o idc (bvi) limited,68068
whois privacy protection service by value-domain,whois privacy protection service by value-domain,67079
whois privacy service protects this domain,"only contact by email, all postal mail will be rejected",66092
whois privacy protection service,"internet invest, ltd. dba imena.ua",64588
global domain privacy,global domain privacy,63893
registrant privacy,registrantprivacy.com,63338
domain data guard,domain data guard,61934
"name-- domain id shield service|org-- domain id shield service co., limited|country-- cn|province-- hong kong|city-- hong kong",,60946
,private registration,60084
domain admin,whoisprotection.cc,57885
domain privacy services,domain privacy services,57592
nicproxy customer,whois privacy protection service.,55312
private registration,syncsuite llc,54975
whois agent,"whois privacy protection service of chengdu west dimension digital technology co., ltd",54846
domain privacy,,54466
private whois,global domain privacy services inc,54050
cheng du xi wei shu ma ke ji you xian gong shi,"whois privacy protection service of chengdu west dimension digital technology co., ltd",52756
,privacyprotect.org,49532
domain admin domain admin,whoisprotection.biz,49003
domain discreet privacy services,,47611
privacy service fbo registrant.,domain privacy service fbo registrant.,47225
nicproxy|customer,whois privacy protection service.,46904
register4less privacy advocate,"3501256 canada, inc.",46239
privacy group,domain privacy group,45391
whois manager,whois proof llp,42268
whois privacy,whoisprivacy limited,39962
privacy officer,safewhois.ca whois privacy service,39233
whois agent,domain whois privacy protection service,38417
whois domain admin.,whois domain admin.,36116
domain admin,hush whois protection ltd.,35901
privacy protection,,35537
global domain privacy,,34446
whois whois privacy protection service by muumuudomain,whois privacy protection service by muumuudomain,34174
whois privacy service,whois privacy service,32407
whois privacy protection service by tenten.vn,whois privacy protection service by tenten.vn,31564
domain admin,private registrations aktien gesellschaft,31339
whoiscontactsprotection.com,,30476
whois proxy by ultra-domain,ultra-domain,28982
nicproxy cusotmer,whois privacy protection service.,28712
namespro.ca privatewhois,namespro.ca privatewhois,27498
privacy protection service - whoisproxy.ru.,privacy protection service - whoisproxy.ru.,26970
domainclub privacy service,,26628
bill richardson,my privacy web,24121
"privacy protection, report abuse to",registrar: delta-x ltd.,23190
domain admin,epik.com private registration,23144
domain admin,infomation privacy protection services limited,22809
easyspace privacy,easyspace privacy,22691
privacy protection,n/a,22493
host master,above.com domain privacy,22040
proxy protection llc,proxy protection llc,21570
domain privacy service fbo registrant,justhost.com,21379
whois protect,whois protect,21306
vietnam domain privacy services,,21269
"perfect privacy, llc",network solutions llc,21072
yujiawang,information privacy protection services limited,20911
contact privacy,myprivacy.net ltd.,20403
whois agent,profile group,18861
private user,domain privacy protector ltd,18450
privacidad whois,privacidad whois sl,18445
"registration privacy, no-ip.com",,18113
domain admin,whois foundation c/o legal consulting & incorporations,18099
csmjbs enterprises - private registration,,17669
domain whois protection service,hang zhou e-business services co.ltd.,17532
domainsecrecy.net ...,,17423
,whoisproxy.com ltd,17365
domain privacy,domain privacy aps,17344
domain admin,whoisprotection biz,17247
dcc private registrations,domaincostclub.com,17225
,private person,17050
softlayer domains,softlayer domain privacy,16929
whois privacy protection service by value-domain,personal,16692
private registrant,digital privacy corporation,16441
private registration,whoisguardservice.com,16153
contact email c/o dynadot privacy,,16060
whoisbyproxy admin,,15760
domain admin,cv id protection d/b/a protect.id,15406
whois privacy services by gabia,whois privacy services by gabia,15304
domain name privacy protection,domain name privacy protection,14847
whois protected,vcn - whois protection service panama,14332
whois|privacy protection service by value-domain,whois privacy protection service by value-domain,14056
"privacy protection, report abuse to",registrar: hosting ukraine ltd,14013
privacidad whois,,13976
udomain privacy service co.ltd,udomain privacy service co.ltd,13974
registration private,exotikweb,13782
whois privacy,"whoisprivacy limitedregistrant street: 3/f, jonsim place, 228 queen's road east",13672
privacy hero inc,privacy hero inc.,13600
registration private,domain shield,13568
csmjbs private organization csmjbs enterprises - private registration,,13430
whois  privacy protection service by value-domain,whois privacy protection service by value-domain,12890
domain administrator,whois watchdog,12166
privacydotlink customer 1261571,,12047
whois agent,whois privacy protection service,11807
whois agent whois agent,whois agent,11769
domain discreet privacy service,domain discreet privacy service,11765
protected protected,shield whois,11704
privacy protection service - whoisproxy.ru,,11670
private registration,by arvixe,11462
,domain name privacy protection,11420
global domain privacy,global domain privacy,11387
whois privacy protection service by muumuudomain,paperboy and co.,11354
