date,total_count_newgtld,privacy_count_newgtld,total_count_legacygtld,privacy_count_legacygtld,newgtld_percent,legacygtld_percent
2014-02-01,0,0,161430,31565,0.0,19.55
2014-03-01,1,0,133138,27573,0.0,20.71
2014-04-01,3,1,206895,36350,33.33,17.57
2014-05-01,13,4,157368,25502,30.77,16.21
2014-06-01,58,3,181799,28061,5.17,15.44
2014-07-01,376,75,154080,24181,19.95,15.69
2014-08-01,2936,1466,849585,170846,49.93,20.11
2014-09-01,4247,1191,378889,83190,28.04,21.96
2014-10-01,2482,749,294807,51231,30.18,17.38
2014-11-01,8853,1002,258095,51545,11.32,19.97
2014-12-01,8095,638,711731,111146,7.88,15.62
2015-01-01,6691,672,330118,59333,10.04,17.97
2015-02-01,10236,1722,253209,53634,16.82,21.18
2015-03-01,10646,2017,228412,42036,18.95,18.4
2015-04-01,17215,2168,331906,69003,12.59,20.79
2015-05-01,22662,3393,302518,59090,14.97,19.53
2015-06-01,27248,1707,290733,64176,6.26,22.07
2015-07-01,96455,9062,251539,58328,9.4,23.19
2015-08-01,59923,6425,259331,57052,10.72,22.0
2015-09-01,41686,5727,235363,50341,13.74,21.39
2015-10-01,136621,44805,282465,47099,32.8,16.67
2015-11-01,218466,23433,352965,60219,10.73,17.06
2015-12-01,124278,42075,248529,55044,33.86,22.15
2016-01-01,91511,12254,246791,41133,13.39,16.67
2016-02-01,170072,15083,264820,36656,8.87,13.84
2016-03-01,144790,13079,195396,31640,9.03,16.19
2016-04-01,219598,7994,255794,47781,3.64,18.68
2016-05-01,165435,15607,208612,49704,9.43,23.83
2016-06-01,199962,12557,274192,49434,6.28,18.03
2016-07-01,260078,24487,250797,62620,9.42,24.97
2016-08-01,233744,16700,227767,45949,7.14,20.17
2016-09-01,389001,19197,351742,79280,4.93,22.54
2016-10-01,229244,18055,211655,52353,7.88,24.74
2016-11-01,472683,23498,207895,53271,4.97,25.62
2016-12-01,296803,20574,196391,48068,6.93,24.48
2017-01-01,194501,12870,201979,58465,6.62,28.95
