registrant_organization,tot
,125819794
"Domains By Proxy, LLC",18537834
"WHOISGUARD, INC.",4823962
Privacy Protection Service INC d/b/a PrivacyProtect.org,4111939
N/A,3868171
YinSi BaoHu Yi KaiQi (Hidden by Whois Privacy Protection Service),3195630
Whois Privacy Protection Service by onamae.com,3031564
HugeDomains.com,2701129
"WhoisGuard, Inc.",2494222
"WHOIS PRIVACY PROTECTION SERVICE, INC.",2339258
"Whois Privacy Protection Service, Inc.",1636511
Whois Privacy Protection Service by VALUE-DOMAIN,1506301
Whois Privacy Protection Service by MuuMuuDomain,1407782
PrivacyProtect.org,1347587
-,1012204
1&1 Internet Inc,1006499
DomCollect AG,1005362
A HAPPY DREAMHOST CUSTOMER,980658
Domain Discreet Privacy Service,974675
"1&1 Internet, Inc. - http://1and1.com/contact",884390
VistaPrint Technologies Ltd,827496
c/o whoisproxy.com Ltd.,808969
Domain Privacy Service FBO Registrant.,792756
Whois Privacy Corp.,772637
See PrivacyGuardian.org,770816
BuyDomains.com,742776
DOMAIN WHOIS PROTECTION SERVICE,733558
DomCollect International GmbH,726967
None,671469
Whois Privacy Services Pty Ltd,665207
Personal,629310
Domain Registries Foundation,598338
Whois Foundation,568653
Information Privacy Protection Services Limited,549232
Lin Shi Mo Ban,531940
1&1 Internet Inc. - www.1and1.com,511304
NA,510329
BUYDOMAINS.COM,509010
Moniker Privacy Services,493979
whoisprotection biz,448050
"Oversee Domain Management, LLC",435291
Domain Privacy Group,427212
west263 company,426526
Fundacion Private Whois,418303
www.Juming.com,413657
New Ventures Services,411923
NameFind LLC,376541
Identity Protect Limited,358248
Repossessed by Go Daddy,348111
DNS Department,332690
Above.com Domain Privacy,323250
Admin Manager LLC,322894
"DOMAIN ASSET HOLDINGS, LLC",295028
n/a,280571
Not Applicable,276521
null,263339
NAME ADMINISTRATION INC. (BVI),255768
Name Administration Inc. (BVI),247002
Website,243314
"Domain ID Shield Service CO., Limited",241049
Private Person,235328
Cheng Du Xi Wei Shu Ma Ke Ji You Xian Gong Si,233909
North Sound Names,231984
"New Ventures Services, Corp",220377
Protopixel Pty Ltd,213659
"GMO DigiRock, Inc.",210501
Buydomains.com,191283
China Capital Investment Limited,189589
Wu Feng,185111
whois privacy protection service,184179
none,178980
"Whois protection, this company does not own this domain name s.r.o.",177909
xia men yi ming wang luo you xian gong si,174764
Sanyihulian,174651
Domainbox Limited,173579
YODLE,171095
shilirong,168623
zeng mei,164982
SAKURA Internet Inc.,163630
xia men yin si bao hu fu wu you xian gong si,159339
Xiamen Privacy Protection Service Co. Ltd.,156654
1,155913
lirong shi,153999
whoisprotection.biz,153240
www.juming.com,150876
NAMECHEAP.COM,148236
"Xiamen eName Network Co., Ltd.",147316
liming,145346
cheng du xi wei shu ma ke ji you xian gong si,144562
A Happy DreamHost Customer,142650
www.jinmi.com,138831
"Netowl,Inc.",137998
"PROTECTSERVICE, LTD.",134753
PrivacyGuardian.org,127683
nie zhu ping,127349
yinsi baohu yi kai qi(Hidden by Whois Privacy Protection Service),125327
"Whois privacy services, provided by DomainProtect",123351
hanghai road 444,123283
Mo Ban Lin Shi,122198
XSERVER Inc.,119868
Privatewhois biz,119859
NAR's official operator of the .REALTOR TLD,119760
"Dex Media, Inc.",119305
PrivateName Services Inc.,119120
hejun,118396
zzzyun,115591
RGO Media LLC,114223
Whois Privacy Service,113957
"MARCHEX SALES, LLC",113737
Whois Data Protection Sp. z o.o.,113573
YourJungle Privacy Protection Service,109233
