146,"GoDaddy.com, LLC",73497
48,"eNom, LLC",28669
303,PDR Ltd. d/b/a PublicDomainRegistry.com,24285
69,Tucows Domains Inc.,13086
2,"Network Solutions, LLC",7023
440,"Wild West Domains, LLC",5805
83,1&1 Internet SE,4761
625,"Name.com, Inc.",3996
955,Launchpad.com Inc.,3866
13,Melbourne IT Ltd,3712
1154,FastDomain Inc.,3607
9,"Register.com, Inc.",3429
292,MarkMonitor Inc.,3204
82,"OnlineNIC, Inc.",3106
299,"CSC Corporate Domains, Inc.",2879
886,"Domain.com, LLC",2877
433,OVH sas,2511
420,HiChina Zhicheng Technology Limited,2224
1110,FBS Inc.,2076
1495,BigRock Solutions Ltd.,1682
269,Key-Systems GmbH,1681
1005,NetEarth One Inc. d/b/a NetEarth,1476
2487,Internet Domain Service BS Corp,1412
1479,"NameSilo, LLC",1395
106,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",1327
1291,Crazy Domains FZ-LLC,1313
1418,Danesco Trading Ltd.,1214
120,Xin Net Technology Corporation,1123
814,Internet.bs Corp.,1116
431,"DreamHost, LLC",1108
472,"Dynadot, LLC",1104
49,"GMO Internet, Inc. d/b/a Onamae.com",1061
228,Moniker Online Services LLC,1052
81,Gandi SAS,1000
1564,TLD Registrar Solutions Ltd.,983
1478,CV. Jogjacamp,953
839,Realtime Register B.V.,948
460,Web Commerce Communications Limited dba WebNic.cc,937
1390,Mesh Digital Limited,904
471,"Bizcn.com, Inc.",900
291,"DNC Holdings, Inc.",870
1454,Nics Telekomnikasyon Tic Ltd. ti.,829
633,Beijing Innovative Linkage Technology Ltd. dba dns.com.cn,786
168,REGISTER.IT SPA,725
895,Google Inc.,721
1515,123-Reg Limited,674
1606,Registrar of Domain Names REG.RU LLC,663
1429,Hebei Guoji Maoyi (Shanghai) LTD dba HebeiDomains.com,645
463,"Regional Network Information Center, JSC dba RU-CENTER",637
418,CommuniGal Communication Ltd.,629
1389,Universo Online S/A (UOL),588
1387,1API GmbH,576
1091,"IHS Telekom, Inc.",572
113,CSL Computer Service Langenbach GmbH d/b/a joker.com,558
1388,Dattatec.com SRL,553
1659,Uniregistrar Corp,526
1621,"Shanghai Meicheng Technology Information Development Co., Ltd.",526
379,"Arsys Internet, S.L. dba NICLINE.COM",481
1007,Net 4 India Limited,465
1040,"Oracle America, Inc.",425
151,"PSI-USA, Inc. dba Domain Robot",418
320,TLDS L.L.C. d/b/a SRSPlus,408
141,Cronon AG,377
1675,CV. Rumahweb Indonesia,362
1316,"35 Technology Co., Ltd.",359
677,NetRegistry Pty Ltd.,356
52,"Deluxe Small Business Sales, Inc. d/b/a Aplus.net",350
925,"Everyones Internet, Ltd. dba SoftLayer",343
65,"DomainPeople, Inc.",332
1556,"Chengdu West Dimension Digital Technology Co., Ltd.",327
1503,PT Ardh Global Indonesia,324
1600,"Tecnocrtica Centro de Datos, S.L.",319
1586,MAT BAO CORPORATION,317
1052,EuroDNS S.A.,314
93,"GKG.NET, INC.",313
1068,"NameCheap, Inc.",310
1649,P.A. Viet Nam Company Limited,307
1469,Jiangsu Bangning Science & technology Co. Ltd.,303
1647,Hosting Concepts B.V. d/b/a Openprovider,303
1111,"DomainContext, Inc.",277
1443,Vautron Rechenzentrum AG,275
819,Reg2C.com Inc.,264
1741,Shinjiru Technology Sdn Bhd,256
84,UK-2 Limited,254
1383,"Soluciones Corporativas IP, SL",253
