1556,"Chengdu West Dimension Digital Technology Co., Ltd.",1500
1068,"NameCheap, Inc.",1169
146,"GoDaddy.com, LLC",690
303,PDR Ltd. d/b/a PublicDomainRegistry.com,646
48,"eNom, LLC",628
1469,Jiangsu Bangning Science & technology Co. Ltd.,471
1857,Alpnames Limited,350
625,"Name.com, Inc.",339
69,Tucows Domains Inc.,287
1599,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),280
1564,TLD Registrar Solutions Ltd.,236
1011,101domain GRS Limited,223
49,"GMO Internet, Inc. d/b/a Onamae.com",201
120,Xin Net Technology Corporation,187
697,"Todaynic.com, Inc.",177
1110,FBS Inc.,164
1621,"Shanghai Meicheng Technology Information Development Co., Ltd.",151
269,Key-Systems GmbH,148
2,"Network Solutions, LLC",139
83,1&1 Internet SE,116
82,"OnlineNIC, Inc.",107
1868,Eranet International Limited,89
1659,Uniregistrar Corp,88
1915,West263 International Limited,87
433,OVH sas,67
1606,Registrar of Domain Names REG.RU LLC,59
471,"Bizcn.com, Inc.",59
463,"Regional Network Information Center, JSC dba RU-CENTER",57
1366,"Xiamen ChinaSource Internet Service Co., Ltd",50
1291,Crazy Domains FZ-LLC,49
1345,"Key-Systems, LLC",48
472,"Dynadot, LLC",47
895,Google Inc.,47
81,Gandi SAS,46
1390,Mesh Digital Limited,44
1408,united-domains AG,37
1913,DOTSERVE INC.,34
1052,EuroDNS S.A.,32
1563,"Foshan YiDong Network Co., LTD",31
440,"Wild West Domains, LLC",30
1462,One.com A/S,29
1636,"Hostinger, UAB",29
1416,Minds and Machines LLC,27
1387,1API GmbH,27
141,Cronon AG,26
1675,CV. Rumahweb Indonesia,26
106,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",25
1655,"Xiamen Nawang Technology Co., Ltd",20
1734,"Shenzhen HuLianXianFeng Technology Co.,LTD",19
1479,"NameSilo, LLC",18
1467,Register NV dba Register.eu,18
1505,"Gransy, s.r.o. d/b/a subreg.cz",17
1371,AB Name ISP,14
675,Super Registry Ltd,14
1376,Instra Corporation Pty Ltd.,13
3,Registry Installation,13
13,Melbourne IT Ltd,12
1495,BigRock Solutions Ltd.,11
1860,Paragon Internet Group Ltd t/a Paragon Names,10
1449,"URL Solutions, Inc.",10
9,"Register.com, Inc.",9
291,"DNC Holdings, Inc.",9
1519,NETIM SARL,8
1647,Hosting Concepts B.V. d/b/a Openprovider,7
839,Realtime Register B.V.,6
1086,"Marcaria.com International, Inc.",6
1605,"Chengdu Fly-Digital Technology Co., Ltd.",6
1463,"Global Domains International, Inc. DBA DomainCostClub.com",5
1466,Lexsynergy Limited,5
1403,"10dencehispahard, S.L.",5
1362,Regtime Ltd.,5
1666,OpenTLD B.V.,5
664,Web4Africa Inc.,4
612,"Blue Razor Domains, LLC",4
965,Domain Central Australia Pty Ltd.,3
151,"PSI-USA, Inc. dba Domain Robot",3
113,CSL Computer Service Langenbach GmbH d/b/a joker.com,3
1609,Synergy Wholesale Pty Ltd,3
1383,"Soluciones Corporativas IP, SL",2
1150,"Go Canada Domains, LLC",2
460,Web Commerce Communications Limited dba WebNic.cc,2
1739,"Hangzhou Dianshang Internet Technology Co., LTD.",2
1443,Vautron Rechenzentrum AG,2
2374,Hosting Ukraine LLC,1
299,"CSC Corporate Domains, Inc.",1
1725,Global Village GmbH,1
1460,Server Plan Srl,1
1448,Blacknight Internet Solutions Ltd.,1
1628,ZNet Technologies Pvt Ltd.,1
1924,Hello Internet Corp.,1
79,Easyspace Limited,1
1630,Ligne Web Services SARL dba LWS,1
696,"Entorno Digital, S.A.",1
1586,MAT BAO CORPORATION,1
1001,Domeneshop AS dba domainnameshop.com,1
1149,"Go China Domains, LLC",1
623,"Name124, Inc.",1
456,Webnames.ca Inc.,1
1620,EJEE Group Holdings Limited,1
455,"EnCirca, Inc.",1
890,IP Mirror Pte Ltd dba IP MIRROR,1
1251,Nameshield SAS,1
1705,"Network Information Center Mexico, S.C.",1
143,"Omnis Network, LLC",1
73,Ports Group AB,1
1152,"Go Montenegro Domains, LLC",1
1662,Enset,1
292,MarkMonitor Inc.,1
1861,Porkbun LLC,1
1420,INWX GmbH & Co. KG,1
