146,"GoDaddy.com, LLC",83348
303,PDR Ltd. d/b/a PublicDomainRegistry.com,30869
48,"eNom, LLC",29584
69,Tucows Domains Inc.,16392
955,Launchpad.com Inc.,10069
2,"Network Solutions, LLC",7853
440,"Wild West Domains, LLC",7051
83,1&1 Internet SE,4617
13,Melbourne IT Ltd,4493
1154,FastDomain Inc.,3964
625,"Name.com, Inc.",3905
82,"OnlineNIC, Inc.",3582
9,"Register.com, Inc.",3528
886,"Domain.com, LLC",3143
433,OVH sas,2544
1110,FBS Inc.,2044
1291,Crazy Domains FZ-LLC,1915
1495,BigRock Solutions Ltd.,1817
269,Key-Systems GmbH,1743
1479,"NameSilo, LLC",1731
2487,Internet Domain Service BS Corp,1409
1005,NetEarth One Inc. d/b/a NetEarth,1342
420,HiChina Zhicheng Technology Limited,1315
1388,Dattatec.com SRL,1307
471,"Bizcn.com, Inc.",1232
106,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",1195
431,"DreamHost, LLC",1170
120,Xin Net Technology Corporation,1153
472,"Dynadot, LLC",1071
839,Realtime Register B.V.,1030
49,"GMO Internet, Inc. d/b/a Onamae.com",1026
168,REGISTER.IT SPA,1003
81,Gandi SAS,993
460,Web Commerce Communications Limited dba WebNic.cc,972
1390,Mesh Digital Limited,931
1389,Universo Online S/A (UOL),922
1515,123-Reg Limited,895
1478,CV. Jogjacamp,818
228,Moniker Online Services LLC,816
1454,Nics Telekomnikasyon Tic Ltd. ti.,807
291,"DNC Holdings, Inc.",785
814,Internet.bs Corp.,755
1564,TLD Registrar Solutions Ltd.,753
1007,Net 4 India Limited,727
1387,1API GmbH,641
1606,Registrar of Domain Names REG.RU LLC,635
379,"Arsys Internet, S.L. dba NICLINE.COM",609
1091,"IHS Telekom, Inc.",588
113,CSL Computer Service Langenbach GmbH d/b/a joker.com,556
463,"Regional Network Information Center, JSC dba RU-CENTER",543
1331,"eName Technology Co., Ltd.",542
320,TLDS L.L.C. d/b/a SRSPlus,536
895,Google Inc.,519
292,MarkMonitor Inc.,499
151,"PSI-USA, Inc. dba Domain Robot",481
1556,"Chengdu West Dimension Digital Technology Co., Ltd.",477
52,"Deluxe Small Business Sales, Inc. d/b/a Aplus.net",473
925,"Everyones Internet, Ltd. dba SoftLayer",449
65,"DomainPeople, Inc.",444
677,NetRegistry Pty Ltd.,431
93,"GKG.NET, INC.",426
697,"Todaynic.com, Inc.",411
1600,"Tecnocrtica Centro de Datos, S.L.",409
141,Cronon AG,393
1040,"Oracle America, Inc.",386
1316,"35 Technology Co., Ltd.",381
299,"CSC Corporate Domains, Inc.",352
1621,"Shanghai Meicheng Technology Information Development Co., Ltd.",351
1376,Instra Corporation Pty Ltd.,337
74,Online SAS,330
633,Beijing Innovative Linkage Technology Ltd. dba dns.com.cn,329
1647,Hosting Concepts B.V. d/b/a Openprovider,325
1503,PT Ardh Global Indonesia,318
1443,Vautron Rechenzentrum AG,318
1472,LiquidNet Ltd.,314
84,UK-2 Limited,299
819,Reg2C.com Inc.,299
86,TierraNet Inc. d/b/a DomainDiscover,294
1483,Neubox Internet S.A. de C.V.,285
1741,Shinjiru Technology Sdn Bhd,280
900,TPP Wholesale Pty Ltd,270
88,Namebay SAM,266
1424,"Wingu Networks, S.A. de C.V.",262
1469,Jiangsu Bangning Science & technology Co. Ltd.,255
466,"DomainSite, Inc.",254
