146,"GoDaddy.com, LLC",109702
303,PDR Ltd. d/b/a PublicDomainRegistry.com,42427
48,"eNom, LLC",36034
69,Tucows Domains Inc.,20413
2,"Network Solutions, LLC",12732
440,"Wild West Domains, LLC",9507
82,"OnlineNIC, Inc.",6780
1154,FastDomain Inc.,6298
625,"Name.com, Inc.",5823
83,1&1 Internet SE,5285
433,OVH sas,4409
955,Launchpad.com Inc.,4351
120,Xin Net Technology Corporation,4056
13,Melbourne IT Ltd,3786
9,"Register.com, Inc.",3712
420,HiChina Zhicheng Technology Limited,3581
886,"Domain.com, LLC",3537
1110,FBS Inc.,3172
431,"DreamHost, LLC",3021
471,"Bizcn.com, Inc.",2941
1495,BigRock Solutions Ltd.,2823
269,Key-Systems GmbH,2507
49,"GMO Internet, Inc. d/b/a Onamae.com",2466
839,Realtime Register B.V.,2134
1331,"eName Technology Co., Ltd.",2078
1454,Nics Telekomnikasyon Tic Ltd. ti.,1911
1291,Crazy Domains FZ-LLC,1777
814,Internet.bs Corp.,1685
460,Web Commerce Communications Limited dba WebNic.cc,1660
81,Gandi SAS,1611
106,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",1553
1479,"NameSilo, LLC",1368
1005,NetEarth One Inc. d/b/a NetEarth,1329
1390,Mesh Digital Limited,1326
1007,Net 4 India Limited,1296
472,"Dynadot, LLC",1285
633,Beijing Innovative Linkage Technology Ltd. dba dns.com.cn,1244
1478,CV. Jogjacamp,1205
379,"Arsys Internet, S.L. dba NICLINE.COM",1077
228,Moniker Online Services LLC,1075
1515,123-Reg Limited,1070
1091,"IHS Telekom, Inc.",1027
291,"DNC Holdings, Inc.",998
168,REGISTER.IT SPA,957
113,CSL Computer Service Langenbach GmbH d/b/a joker.com,949
1556,"Chengdu West Dimension Digital Technology Co., Ltd.",924
463,"Regional Network Information Center, JSC dba RU-CENTER",886
1389,Universo Online S/A (UOL),879
1316,"35 Technology Co., Ltd.",869
1387,1API GmbH,859
1606,Registrar of Domain Names REG.RU LLC,827
1388,Dattatec.com SRL,794
1647,Hosting Concepts B.V. d/b/a Openprovider,747
1465,"Hangzhou AiMing Network Co., Ltd.",712
