146,"GoDaddy.com, LLC",102216
48,"eNom, LLC",33074
303,PDR Ltd. d/b/a PublicDomainRegistry.com,27915
69,Tucows Domains Inc.,15256
2,"Network Solutions, LLC",13374
420,HiChina Zhicheng Technology Limited,9740
120,Xin Net Technology Corporation,7415
440,"Wild West Domains, LLC",6756
625,"Name.com, Inc.",6682
1154,FastDomain Inc.,5886
83,1&1 Internet SE,5780
471,"Bizcn.com, Inc.",5112
82,"OnlineNIC, Inc.",4725
433,OVH sas,4683
49,"GMO Internet, Inc. d/b/a Onamae.com",4323
9,"Register.com, Inc.",3831
886,"Domain.com, LLC",3719
955,Launchpad.com Inc.,3463
1383,"Soluciones Corporativas IP, SL",3029
269,Key-Systems GmbH,2890
1110,FBS Inc.,2744
1331,"eName Technology Co., Ltd.",2740
13,Melbourne IT Ltd,2695
1316,"35 Technology Co., Ltd.",2457
228,Moniker Online Services LLC,2142
81,Gandi SAS,1977
431,"DreamHost, LLC",1965
1556,"Chengdu West Dimension Digital Technology Co., Ltd.",1944
1479,"NameSilo, LLC",1925
814,Internet.bs Corp.,1912
633,Beijing Innovative Linkage Technology Ltd. dba dns.com.cn,1857
106,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",1739
1469,Jiangsu Bangning Science & technology Co. Ltd.,1735
1418,Danesco Trading Ltd.,1702
472,"Dynadot, LLC",1561
1495,BigRock Solutions Ltd.,1539
1454,Nics Telekomnikasyon Tic Ltd. ti.,1538
460,Web Commerce Communications Limited dba WebNic.cc,1502
1555,"22net, Inc.",1435
1606,Registrar of Domain Names REG.RU LLC,1308
291,"DNC Holdings, Inc.",1194
1621,"Shanghai Meicheng Technology Information Development Co., Ltd.",1188
1915,West263 International Limited,1180
839,Realtime Register B.V.,1160
379,"Arsys Internet, S.L. dba NICLINE.COM",1103
1390,Mesh Digital Limited,1103
1291,Crazy Domains FZ-LLC,1059
1564,TLD Registrar Solutions Ltd.,1047
418,CommuniGal Communication Ltd.,1044
1563,"Foshan YiDong Network Co., LTD",1013
1515,123-Reg Limited,1009
292,MarkMonitor Inc.,991
1387,1API GmbH,968
1478,CV. Jogjacamp,962
1465,"Hangzhou AiMing Network Co., Ltd.",936
2487,Internet Domain Service BS Corp,929
1091,"IHS Telekom, Inc.",925
151,"PSI-USA, Inc. dba Domain Robot",921
463,"Regional Network Information Center, JSC dba RU-CENTER",887
1005,NetEarth One Inc. d/b/a NetEarth,879
141,Cronon AG,864
244,"Gabia, Inc.",853
113,CSL Computer Service Langenbach GmbH d/b/a joker.com,848
299,"CSC Corporate Domains, Inc.",847
168,REGISTER.IT SPA,839
1389,Universo Online S/A (UOL),742
320,TLDS L.L.C. d/b/a SRSPlus,698
1470,"Shanghai Yovole Networks, Inc.",672
1111,"DomainContext, Inc.",667
604,In2net Network Inc.,620
1007,Net 4 India Limited,614
1557,"Netowl, Inc.",598
52,"Deluxe Small Business Sales, Inc. d/b/a Aplus.net",585
1436,Center of Ukrainian Internet Names (UKRNAMES),558
1655,"Xiamen Nawang Technology Co., Ltd",531
65,"DomainPeople, Inc.",521
1472,LiquidNet Ltd.,500
74,Online SAS,493
819,Reg2C.com Inc.,477
1366,"Xiamen ChinaSource Internet Service Co., Ltd",476
1388,Dattatec.com SRL,468
1262,Dinahosting s.l.,463
1443,Vautron Rechenzentrum AG,454
1403,"10dencehispahard, S.L.",440
1362,Regtime Ltd.,437
1525,"Guangdong JinWanBang Technology Investment Co., Ltd.",431
1619,GuangDong NaiSiNiKe Information Technology Co Ltd.,422
697,"Todaynic.com, Inc.",420
1649,P.A. Viet Nam Company Limited,419
1328,RegistryGate GmbH,418
86,TierraNet Inc. d/b/a DomainDiscover,416
100,"Whois Networks Co., Ltd.",406
1408,united-domains AG,395
93,"GKG.NET, INC.",391
466,"DomainSite, Inc.",386
925,"Everyones Internet, Ltd. dba SoftLayer",362
1505,"Gransy, s.r.o. d/b/a subreg.cz",356
1600,"Tecnocrtica Centro de Datos, S.L.",352
1068,"NameCheap, Inc.",347
1586,MAT BAO CORPORATION,347
1675,CV. Rumahweb Indonesia,340
1605,"Chengdu Fly-Digital Technology Co., Ltd.",338
1132,Dotname Korea Corp.,334
1456,NetArt Sp z o.o,331
1011,101domain GRS Limited,322
84,UK-2 Limited,318
447,SafeNames Ltd.,315
1052,EuroDNS S.A.,302
411,Fabulous.com Pty Ltd,300
1659,Uniregistrar Corp,300
1647,Hosting Concepts B.V. d/b/a Openprovider,297
1376,Instra Corporation Pty Ltd.,293
444,"Inames Co., Ltd.",290
1503,PT Ardh Global Indonesia,275
88,Namebay SAM,270
15,"COREhub, S.R.L.",269
816,"0101 Internet, Inc.",262
140,"Acens Technologies, S.L.U.",261
817,MAFF Inc.,258
1518,"Shanghai Best Oray Information S&T Co., Ltd.",243
76,Nominalia Internet S.L.,243
1040,"Oracle America, Inc.",241
1112,"Internet Invest, Ltd. dba Imena.ua",237
85,EPAG Domainservices GmbH,237
1489,"Megazone Corp., dba HOSTING.KR",233
143,"Omnis Network, LLC",221
895,Google Inc.,214
600,Rebel Ltd,188
30,NameSecure L.L.C.,184
1429,Hebei Guoji Maoyi (Shanghai) LTD dba HebeiDomains.com,181
677,NetRegistry Pty Ltd.,180
940,Above.com Pty Ltd.,180
1090,"Active Registrar, Inc.",176
1483,Neubox Internet S.A. de C.V.,176
1636,"Hostinger, UAB",166
1426,JSC Registrar R01,164
900,TPP Wholesale Pty Ltd,158
79,Easyspace Limited,154
57,"Advanced Internet Technologies, Inc. (AIT)",153
240,PlanetDomain Pty Ltd,150
99,"pair Networks, Inc.d/b/a pairNIC",149
1250,"OwnRegistrar, Inc.",147
602,LCN.COM Ltd.,146
1420,INWX GmbH & Co. KG,143
890,IP Mirror Pte Ltd dba IP MIRROR,143
636,"BRANDON GRAY INTERNET SERVICES INC. (dba ""NameJuice.com)",137
123,"The Registry at Info Avenue, LLC d/b/a Spirit Communications",137
1150,"Go Canada Domains, LLC",128
1654,Ourdomains Limited,126
1628,ZNet Technologies Pvt Ltd.,125
1534,Aerotek Bilisim Sanayi ve Ticaret AS,121
1741,Shinjiru Technology Sdn Bhd,118
1485,"Japan Registry Services Co., Ltd.",118
828,Hetzner Online GmbH,118
1149,"Go China Domains, LLC",117
700001,asia registry r6-asia (700001),114
664,Web4Africa Inc.,113
1152,"Go Montenegro Domains, LLC",112
186,NameScout Corp.,111
1153,"Go France Domains, LLC",109
469,easyDNS Technologies Inc.,108
247,Active 24 AS,107
1476,World4You Internet Services GmbH,105
470,Nom-iq Ltd. dba COM LAUDE,104
1239,CPS-Datensysteme GmbH,103
1452,Interweb Advertising D.B.A. Profile Builder,103
612,"Blue Razor Domains, LLC",101
1424,"Wingu Networks, S.A. de C.V.",101
1710,Nhan Hoa Software Company Ltd.,98
1441,"TurnCommerce, Inc. DBA NameBright.com",98
735,Rebel.ca Corp.,98
953,Nanjing Imperiosus Technology Co. Ltd.,98
820,ELB Group Inc,95
1378,Hosteur SARL,95
1151,"Go Australia Domains, LLC",95
1527,DOMAIN NAME NETWORK PTY LTD,94
1632,"Century Oriental International Co., Ltd.",93
1367,Paknic (Private) Limited,93
401,"Misk.com, Inc.",93
898,Alantron Bilisim Ltd Sti.,92
818,"Interdominios, Inc.",90
1587,Mijn InternetOplossing B.V.,87
1336,"Net-Chinese Co., Ltd.",85
1742,"Zhengzhou Zitian Network Technology Co., Ltd.",83
1533,Good Domain Registry Pvt Ltd.,83
87,"HANGANG Systems, Inc. dba Doregi.com",81
997,"NamePal.com, LLC",81
1516,Guangzhou Ehost Tech. Co. Ltd.,79
