
NULL,icm registry llc (r3190-agrs),82806
NULL,icm registry llc,81784
NULL,"corporate domains, inc.",59828
NULL,cjsc registrar r01,51911
NULL,"interplanet, s.a de c.v.",48967
NULL,acrc domains,47705
NULL,"1 more name, llc",43990
NULL,"profile builder, llc.",34236
NULL,afilias grs test account,31792
NULL,orange,29933
NULL,mailclub sas,26707
NULL,core internet council of registrars (r23-lror),26527
NULL,neustar special projects,25939
NULL,"catalog.com, inc.",25724
NULL,core internet council of registrars (r135-lrms),24207
NULL,hostopia.com inc. d/b/a aplus.net (r14-lror),21407
NULL,gal communication (communigal) ltd. (r41-lror),21231
NULL,internet group do brasil s/a,18495
NULL,hkidc international limited,18385
NULL,cloud group limited (r123-lror),18294
NULL,"dynamic network services, inc.",16643
NULL,afilias grs test account (r194-lrms),16200
NULL,domainos.ca inc.,16180
NULL,shinjiru msc sdn bhd,15901
NULL,"dynamic network services, inc. (r1450-lror)",15647
NULL,afilias grs test account (r7-lror),15404
NULL,1st antagus internet gmbh,15062
NULL,domainregi llc,14865
NULL,spot domain llc dba domainsite.com (r87-lror),14240
NULL,bb online ltd,14096
NULL,ename pty ltd.,12559
NULL,spot domain llc dba domainsite.com,11722
NULL,cloud group limited (r212-lrms),11433
NULL,"new dream network, llc dba dreamhost web hosting (r264-lrms)",10912
NULL,internetworx ltd. & co. kg (r1746-lror),10550
NULL,"crosscert, inc. dba cosmotown, inc.",9977
NULL,verisign security and stability,9456
NULL,"enom1040, inc.",9313
NULL,"datahotel co., ltd.",8748
NULL,internetwire communications gmbh,8545
NULL,domainsatcost corporation,8448
NULL,techorus inc.,8112
NULL,internetworx ltd. & co. kg (r537-lrms),8108
NULL,domains.coop,8056
NULL,dropweek.com,7852
NULL,domainsatcost corporation (r1754-lror),7747
NULL,visesh infotecnics ltd. d/b/a signdomains.com,7622
NULL,domain people,7457
NULL,tlds inc.,6846
NULL,namesilo,6628
NULL,rebel.com corp. (r1272-lror),5995
NULL,estrategias website s.l. (r1917-lror),5835
NULL,backup.ca corporation,5817
NULL,"jetpack domains, inc",5474
NULL,cadiware ag,5332
NULL,"namejumper.com, inc",5264
NULL,"cat, inc. d/b/a namezero.com",5245
NULL,"nametellers.com, inc",5232
NULL,"threadfactory.com, inc.",5198
NULL,"threadshare.com, inc",5194
NULL,"threadbot.com, inc",5185
NULL,"yourjungle, inc.",5160
NULL,"namewhite.com, inc",5144
NULL,domainsforme.ca inc.,5085
NULL,"threadtrade.com, inc",5072
NULL,"threadexchange.com, inc.",5043
NULL,"adoptadomain.net, inc.",4987
NULL,namegame.ca internet services corporation,4969
NULL,"domainevent.ca, inc.",4967
NULL,domainnetwork.ca inc.,4956
NULL,"threadsupply.com, inc.",4954
NULL,getyourdotcom.com inc.,4922
NULL,domainscout.com inc.,4919
NULL,condomainium.com inc.,4889
NULL,domainstream.ca inc.,4867
NULL,ezhosting.ca internet services corporation,4857
NULL,nametorrent.ca inc.,4760
NULL,interdotcom corp.,4745
NULL,ab svenska domaner,4305
NULL,domainator.ca inc.,4265
NULL,namepal.com #8022.,4238
NULL,invisibledomains.com inc,4226
NULL,"gsonsoft, inc",4189
NULL,domains2register.com inc.,4171
NULL,namepal.com #8020,4156
NULL,randomain.ca inc.,4148
NULL,domainutopia.ca inc.,4147
NULL,netheadz.ca inc.,4098
NULL,getyourdotnet.com inc.,4093
NULL,domainmania.ca inc.,4047
NULL,domaingrabber.ca inc.,3981
NULL,domaineered.ca inc.,3958
NULL,thegreatdomain.ca inc.,3942
NULL,fabdomains.ca inc.,3874
NULL,namepal.com #8003,3790
NULL,namepal.com #8005,3785
NULL,"bignamesdomain.com, inc.",3653
NULL,spot domain llc dba domainsite.com (r263-lrms),3588
NULL,mat bao trading & service company limited d/b/a mat bao (r1911-lror),3487
NULL,hostopia.com inc. d/b/a aplus.net (r157-lrms),3390
NULL,openprovider,3286
NULL,"yesnic co., ltd.",3056
NULL,verisign monitoring 2,2805
NULL,totalregistrations dba total web solutions (r79-lror),2728
NULL,"domainregi, llc (r1842-lror)",2690
NULL,"catalog.com, inc (r98-lror)",2584
NULL,interdomain,2546
NULL,namesbeyond.com (378),2358
NULL,"dynamic network services, inc. (r377-lrms)",2266
NULL,mailclub sas (r1862-lror),2194
NULL,"trafficmedia, llc dba domainspa.com",2172
NULL,core internet council of registrars (15),2136
NULL,estrategias website s.l. (r658-lrms),2018
NULL,"catalog.com, inc",1969
NULL,domains at cost,1957
NULL,"domainregi, llc",1894
NULL,domainsatcost corporation (r540-lrms),1786
NULL,spot domain llc,1722
NULL,"assorted, ltd",1686
NULL,gal communication (communigal) ltd. (r111-lrms),1588
NULL,"hang zhou e-business services co., ltd r215-asia (1465)",1572
NULL,nameshield r58-asia (1251),1428
NULL,totalregistrations dba total web solutions (r169-lrms),1426
NULL,kaunas university of technology information technology development institute dba domreg.lt,1424
NULL,realtime register b.v. r168-asia (839),1399
NULL,asia registry r2-asia (700000),1379
NULL,mailclub sas (r591-lrms),1321
NULL,mat bao trading & service company limited d/b/a mat bao (r654-lrms),1316
NULL,distribute it pty ltd,1300
NULL,totalregistrations dba total web solutions,1298
NULL,verisign emt monitoring,1225
NULL,today isp bv,1156
NULL,"domainducks, inc. d/b/a personalnames.com",1146
NULL,"backorderzone.com, inc.",1119
NULL,communi gal communications ltd.,1114
NULL,quantumpages technologies pvt. ltd. d/b/a ownregistrar.com (r1466-lror),1108
NULL,trafficmedia inc.,1099
NULL,communigal communications ltd. r22-asia (418),1057
NULL,rebel.com corp. (r262-lrms),1024
NULL,"assorted, ltd (r1291-lror)",995
NULL,0101 internet inc. r84-asia (816),816
NULL,"crosscert, inc. dba cosmotown, inc. (r1877-lror)",803
NULL,"dynamic network services, inc. (1040)",793
NULL,nominalia internel s.l. (76),785
NULL,quantumpages technologies pvt. ltd. d/b/a ownregistrar.com,765
NULL,"privacypost, inc.",756
NULL,allglobalnames,729
NULL,hostlane inc.,715
NULL,"domainname route, inc.",710
NULL,"domains only, inc.",702
NULL,"whiteglove domains, inc.",687
NULL,spot domain llc dba domainsite.com (466),661
NULL,visesh infotecnics ltd (r66-lror),653
NULL,tpp domain pty ltd. dba tpp internet,633
NULL,"enom625, inc.",633
NULL,cadiware ag (r1274-lror),603
NULL,ab connect sarl (r563-lrms),600
NULL,"extremely wild, inc.",577
