1556,"Chengdu West Dimension Digital Technology Co., Ltd.",4892391
1857,Alpnames Limited,3028011
1659,Uniregistrar Corp,2069888
1068,"NameCheap, Inc.",1961146
1599,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),1859602
146,"GoDaddy.com, LLC",1852554
49,"GMO Internet, Inc. d/b/a Onamae.com",1734775
303,PDR Ltd. d/b/a PublicDomainRegistry.com,1299611
1331,"eName Technology Co., Ltd.",1069310
48,"eNom, LLC",627116
1915,West263 International Limited,558497
2,"Network Solutions, LLC",517220
69,Tucows Domains Inc.,419035
1723,Internet Domain Name System Beijing Engineering Research Center LLC (ZDNS),409228
83,1&1 Internet SE,362912
120,Xin Net Technology Corporation,347287
697,"Todaynic.com, Inc.",329399
1655,"Xiamen Nawang Technology Co., Ltd",282925
3225,"Knet Registrar Co., Ltd",272419
433,OVH sas,245688
625,"Name.com, Inc.",226745
1408,united-domains AG,226590
1469,Jiangsu Bangning Science & technology Co. Ltd.,200323
1620,EJEE Group Holdings Limited,199901
1345,"Key-Systems, LLC",198296
151,"PSI-USA, Inc. dba Domain Robot",186134
81,Gandi SAS,178282
1564,TLD Registrar Solutions Ltd.,163988
1606,Registrar of Domain Names REG.RU LLC,157758
1390,Mesh Digital Limited,152991
1011,101domain GRS Limited,139203
1387,1API GmbH,137784
141,Cronon AG,128636
1636,"Hostinger, UAB",127360
471,"Bizcn.com, Inc.",124345
667,"Name Share, Inc.",120035
1555,"22net, Inc.",117996
82,"OnlineNIC, Inc.",101611
463,"Regional Network Information Center, JSC dba RU-CENTER",98311
472,"Dynadot, LLC",94891
1291,Crazy Domains FZ-LLC,84060
1376,Instra Corporation Pty Ltd.,77642
2485,"EIMS (Shenzhen) Culture & Technology Co., Ltd",67853
106,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",62643
1110,FBS Inc.,56438
895,Google Inc.,52358
1621,"Shanghai Meicheng Technology Information Development Co., Ltd.",50501
1563,"Foshan YiDong Network Co., LTD",45556
1416,Minds and Machines LLC,44781
1449,"URL Solutions, Inc.",43477
1868,Eranet International Limited,42154
299,"CSC Corporate Domains, Inc.",41427
1505,"Gransy, s.r.o. d/b/a subreg.cz",40020
440,"Wild West Domains, LLC",40003
1463,"Global Domains International, Inc. DBA DomainCostClub.com",38844
953,Nanjing Imperiosus Technology Co. Ltd.,38025
633,Beijing Innovative Linkage Technology Ltd. dba dns.com.cn,36632
292,MarkMonitor Inc.,34524
1489,"Megazone Corp., dba HOSTING.KR",34450
1366,"Xiamen ChinaSource Internet Service Co., Ltd",33009
1647,Hosting Concepts B.V. d/b/a Openprovider,32341
1479,"NameSilo, LLC",31084
244,"Gabia, Inc.",30316
1052,EuroDNS S.A.,27979
460,Web Commerce Communications Limited dba WebNic.cc,27955
9,"Register.com, Inc.",27659
1467,Register NV dba Register.eu,26287
839,Realtime Register B.V.,23003
1462,One.com A/S,21847
1455,Mijndomein.nl BV,21358
675,Super Registry Ltd,21322
1383,"Soluciones Corporativas IP, SL",21313
470,Nom-iq Ltd. dba COM LAUDE,21044
1379,Service Development Center of the State Commission Office for Public Sector Reform,20811
1875,Intracom Middle East FZE,20640
617,"Epik, Inc.",20160
1316,"35 Technology Co., Ltd.",19886
420,HiChina Zhicheng Technology Limited,19673
1328,RegistryGate GmbH,19323
1443,Vautron Rechenzentrum AG,18732
1654,Ourdomains Limited,16390
1152,"Go Montenegro Domains, LLC",16208
2805,"Zhengzhou Century Connect Electronic Technology Development Co., Ltd",16057
3,Registry Installation,15686
1153,"Go France Domains, LLC",15472
