blacklistdate,domains
2016-04-20 00:00:00,1
2016-04-23 00:00:00,14
2016-04-24 00:00:00,11
2016-04-25 00:00:00,7
2016-04-29 00:00:00,3
2016-04-30 00:00:00,1
2016-05-01 00:00:00,22
2016-05-02 00:00:00,5
2016-05-03 00:00:00,5
2016-05-05 00:00:00,1
2016-05-06 00:00:00,1
2016-05-07 00:00:00,94
2016-05-09 00:00:00,2
2016-05-10 00:00:00,2
2016-05-11 00:00:00,1
2016-05-12 00:00:00,5
2016-05-13 00:00:00,1
2016-05-14 00:00:00,2
2016-05-15 00:00:00,4
2016-05-16 00:00:00,3
2016-05-17 00:00:00,6
2016-05-18 00:00:00,5
2016-05-19 00:00:00,2
2016-05-20 00:00:00,5
2016-05-21 00:00:00,1
2016-05-22 00:00:00,2
2016-05-24 00:00:00,1
2016-05-25 00:00:00,2
2016-05-29 00:00:00,8
2016-06-01 00:00:00,4
2016-06-02 00:00:00,4
2016-06-03 00:00:00,6
2016-06-04 00:00:00,3
2016-06-05 00:00:00,8
2016-06-06 00:00:00,11
2016-06-07 00:00:00,4
2016-06-08 00:00:00,9
2016-06-09 00:00:00,23
2016-06-10 00:00:00,26
2016-06-11 00:00:00,6
2016-06-12 00:00:00,1
2016-06-13 00:00:00,1
2016-06-15 00:00:00,1
2016-06-17 00:00:00,1
2016-06-18 00:00:00,1
2016-06-19 00:00:00,1
2016-06-21 00:00:00,2
2016-06-22 00:00:00,670
2016-06-23 00:00:00,2
2016-06-24 00:00:00,3
2016-06-25 00:00:00,1
2016-07-03 00:00:00,4
2016-07-12 00:00:00,1
2016-07-15 00:00:00,100
2016-07-22 00:00:00,1
2016-07-28 00:00:00,342
2016-08-03 00:00:00,1
2016-08-05 00:00:00,1
2016-08-06 00:00:00,11
2016-08-07 00:00:00,5
2016-08-09 00:00:00,23
2016-08-10 00:00:00,51
2016-08-11 00:00:00,143
2016-08-17 00:00:00,83
2016-08-19 00:00:00,46
2016-08-20 00:00:00,145
2016-08-21 00:00:00,66
2016-08-22 00:00:00,2
2016-08-24 00:00:00,1
2016-08-27 00:00:00,1
2016-08-28 00:00:00,101
2016-08-31 00:00:00,488
2016-09-02 00:00:00,14
2016-09-03 00:00:00,3
2016-09-04 00:00:00,704
2016-09-06 00:00:00,1
2016-09-08 00:00:00,492
2016-09-09 00:00:00,1
2016-09-10 00:00:00,433
2016-09-12 00:00:00,1
2016-09-13 00:00:00,1
2016-09-14 00:00:00,334
2016-09-15 00:00:00,384
2016-09-16 00:00:00,301
2016-09-17 00:00:00,637
2016-09-18 00:00:00,324
2016-09-20 00:00:00,221
2016-09-21 00:00:00,406
2016-09-22 00:00:00,202
2016-09-23 00:00:00,351
2016-09-24 00:00:00,322
2016-09-25 00:00:00,1
2016-09-27 00:00:00,1
2016-09-28 00:00:00,209
2016-09-29 00:00:00,3
2016-09-30 00:00:00,784
2016-10-01 00:00:00,200
2016-10-02 00:00:00,1
2016-10-03 00:00:00,2
2016-10-06 00:00:00,1
2016-10-09 00:00:00,1
2016-10-10 00:00:00,1
2016-10-12 00:00:00,3814
2016-10-13 00:00:00,668
2016-10-14 00:00:00,390
2016-10-15 00:00:00,500
2016-10-18 00:00:00,14
2016-10-19 00:00:00,400
2016-10-20 00:00:00,549
2016-10-21 00:00:00,410
2016-10-22 00:00:00,699
2016-10-23 00:00:00,499
2016-10-25 00:00:00,201
2016-10-26 00:00:00,300
2016-10-27 00:00:00,505
2016-10-28 00:00:00,349
2016-10-29 00:00:00,611
2016-10-30 00:00:00,293
2016-10-31 00:00:00,225
2016-11-01 00:00:00,477
2016-11-02 00:00:00,102
2016-11-03 00:00:00,442
2016-11-04 00:00:00,319
2016-11-05 00:00:00,217
2016-11-06 00:00:00,344
2016-11-07 00:00:00,149
2016-11-08 00:00:00,154
2016-11-09 00:00:00,422
2016-11-10 00:00:00,560
2016-11-11 00:00:00,181
2016-11-12 00:00:00,615
2016-11-13 00:00:00,277
2016-11-14 00:00:00,60
2016-11-15 00:00:00,27
2016-11-16 00:00:00,7
2016-11-17 00:00:00,572
2016-11-18 00:00:00,425
2016-11-19 00:00:00,290
2016-11-20 00:00:00,381
2016-11-21 00:00:00,108
2016-11-22 00:00:00,94
2016-11-23 00:00:00,368
2016-11-24 00:00:00,15
2016-12-06 00:00:00,1
