date,domains
2009-07-01,5
2009-09-01,2
2009-10-01,5
2009-11-01,4
2009-12-01,5
2010-01-01,9
2010-02-01,3
2010-03-01,5
2010-04-01,3
2010-05-01,4
2010-06-01,1
2010-07-01,4
2010-08-01,11
2010-09-01,2
2010-10-01,5
2010-11-01,3
2010-12-01,8
2011-01-01,2
2011-02-01,6
2011-03-01,7
2011-04-01,7
2011-05-01,3
2011-06-01,13
2011-07-01,4
2011-08-01,5
2011-09-01,3
2011-10-01,8
2011-11-01,4
2011-12-01,6
2012-01-01,4
2012-02-01,7
2012-03-01,11
2012-04-01,8
2012-05-01,5
2012-06-01,10
2012-07-01,5
2012-08-01,11
2012-09-01,12
2012-10-01,11
2012-11-01,19
2012-12-01,32
2013-01-01,38
2013-02-01,23
2013-03-01,18
2013-04-01,42
2013-05-01,54
2013-06-01,31
2013-07-01,6
2013-08-01,26
2013-09-01,41
2013-10-01,15
2013-11-01,12
2013-12-01,13
2014-01-01,17
2014-02-01,4
2014-03-01,14
2014-04-01,19
2014-05-01,14
2014-06-01,8
2014-07-01,28
2014-08-01,31
2014-09-01,4
2014-10-01,66
2014-11-01,126
2014-12-01,212
2015-01-01,137
2015-02-01,415
2015-03-01,723
2015-04-01,535
2015-05-01,883
2015-06-01,592
2015-07-01,439
2015-08-01,375
2015-09-01,531
2015-10-01,300
2015-11-01,695
2015-12-01,712
2016-01-01,773
2016-02-01,839
2016-03-01,492
2016-04-01,480
2016-05-01,568
2016-06-01,429
2016-07-01,316
2016-08-01,4
2016-09-01,8
2016-10-01,5
2016-11-01,4
2016-12-01,3
2017-01-01,2
2017-03-01,33
2017-04-01,38
