146,"GoDaddy.com, LLC",73741
48,"eNom, LLC",27721
303,PDR Ltd. d/b/a PublicDomainRegistry.com,22099
69,Tucows Domains Inc.,11814
2,"Network Solutions, LLC",6429
440,"Wild West Domains, LLC",5331
83,1&1 Internet SE,4626
955,Launchpad.com Inc.,3895
625,"Name.com, Inc.",3779
1154,FastDomain Inc.,3431
292,MarkMonitor Inc.,3254
13,Melbourne IT Ltd,3143
299,"CSC Corporate Domains, Inc.",2839
9,"Register.com, Inc.",2805
886,"Domain.com, LLC",2734
82,"OnlineNIC, Inc.",2613
420,HiChina Zhicheng Technology Limited,2339
433,OVH sas,2281
1110,FBS Inc.,1810
1495,BigRock Solutions Ltd.,1705
269,Key-Systems GmbH,1700
1479,"NameSilo, LLC",1671
2487,Internet Domain Service BS Corp,1540
106,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",1404
1005,NetEarth One Inc. d/b/a NetEarth,1371
49,"GMO Internet, Inc. d/b/a Onamae.com",1285
1291,Crazy Domains FZ-LLC,1268
1418,Danesco Trading Ltd.,1233
120,Xin Net Technology Corporation,1136
471,"Bizcn.com, Inc.",1128
472,"Dynadot, LLC",1094
81,Gandi SAS,1032
1564,TLD Registrar Solutions Ltd.,1007
431,"DreamHost, LLC",999
228,Moniker Online Services LLC,973
814,Internet.bs Corp.,964
1478,CV. Jogjacamp,905
460,Web Commerce Communications Limited dba WebNic.cc,898
1390,Mesh Digital Limited,858
839,Realtime Register B.V.,855
633,Beijing Innovative Linkage Technology Ltd. dba dns.com.cn,776
291,"DNC Holdings, Inc.",763
1454,Nics Telekomnikasyon Tic Ltd. ti.,749
1515,123-Reg Limited,704
1606,Registrar of Domain Names REG.RU LLC,703
168,REGISTER.IT SPA,691
1429,Hebei Guoji Maoyi (Shanghai) LTD dba HebeiDomains.com,665
418,CommuniGal Communication Ltd.,619
1387,1API GmbH,560
1659,Uniregistrar Corp,550
1389,Universo Online S/A (UOL),542
1621,"Shanghai Meicheng Technology Information Development Co., Ltd.",520
463,"Regional Network Information Center, JSC dba RU-CENTER",519
1091,"IHS Telekom, Inc.",515
113,CSL Computer Service Langenbach GmbH d/b/a joker.com,498
895,Google Inc.,490
379,"Arsys Internet, S.L. dba NICLINE.COM",447
1388,Dattatec.com SRL,438
1007,Net 4 India Limited,428
151,"PSI-USA, Inc. dba Domain Robot",414
1316,"35 Technology Co., Ltd.",402
1556,"Chengdu West Dimension Digital Technology Co., Ltd.",380
320,TLDS L.L.C. d/b/a SRSPlus,375
141,Cronon AG,359
52,"Deluxe Small Business Sales, Inc. d/b/a Aplus.net",333
1675,CV. Rumahweb Indonesia,332
1503,PT Ardh Global Indonesia,326
677,NetRegistry Pty Ltd.,320
65,"DomainPeople, Inc.",317
1649,P.A. Viet Nam Company Limited,311
1586,MAT BAO CORPORATION,305
1647,Hosting Concepts B.V. d/b/a Openprovider,305
1469,Jiangsu Bangning Science & technology Co. Ltd.,297
925,"Everyones Internet, Ltd. dba SoftLayer",286
1052,EuroDNS S.A.,284
1443,Vautron Rechenzentrum AG,283
93,"GKG.NET, INC.",275
1741,Shinjiru Technology Sdn Bhd,271
1600,"Tecnocrtica Centro de Datos, S.L.",261
1383,"Soluciones Corporativas IP, SL",252
1636,"Hostinger, UAB",244
1376,Instra Corporation Pty Ltd.,244
1472,LiquidNet Ltd.,237
1915,West263 International Limited,235
819,Reg2C.com Inc.,231
