1068,"NameCheap, Inc.",12161
146,"GoDaddy.com, LLC",4713
1659,Uniregistrar Corp,1779
303,PDR Ltd. d/b/a PublicDomainRegistry.com,840
1556,"Chengdu West Dimension Digital Technology Co., Ltd.",800
48,"eNom, LLC",671
1564,TLD Registrar Solutions Ltd.,476
1857,Alpnames Limited,470
471,"Bizcn.com, Inc.",464
1469,Jiangsu Bangning Science & technology Co. Ltd.,438
625,"Name.com, Inc.",374
49,"GMO Internet, Inc. d/b/a Onamae.com",323
69,Tucows Domains Inc.,305
1011,101domain GRS Limited,238
1599,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),229
1110,FBS Inc.,158
269,Key-Systems GmbH,155
1606,Registrar of Domain Names REG.RU LLC,138
83,1&1 Internet SE,136
953,Nanjing Imperiosus Technology Co. Ltd.,133
120,Xin Net Technology Corporation,124
2,"Network Solutions, LLC",117
433,OVH sas,103
1621,"Shanghai Meicheng Technology Information Development Co., Ltd.",91
697,"Todaynic.com, Inc.",79
1291,Crazy Domains FZ-LLC,79
1345,"Key-Systems, LLC",78
1868,Eranet International Limited,77
81,Gandi SAS,72
82,"OnlineNIC, Inc.",68
1390,Mesh Digital Limited,66
472,"Dynadot, LLC",61
1636,"Hostinger, UAB",57
463,"Regional Network Information Center, JSC dba RU-CENTER",54
106,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",46
141,Cronon AG,44
1408,united-domains AG,43
440,"Wild West Domains, LLC",39
1647,Hosting Concepts B.V. d/b/a Openprovider,38
1052,EuroDNS S.A.,35
1387,1API GmbH,34
1462,One.com A/S,34
1366,"Xiamen ChinaSource Internet Service Co., Ltd",33
1376,Instra Corporation Pty Ltd.,32
1505,"Gransy, s.r.o. d/b/a subreg.cz",30
1675,CV. Rumahweb Indonesia,29
1479,"NameSilo, LLC",27
1416,Minds and Machines LLC,25
447,SafeNames Ltd.,23
1563,"Foshan YiDong Network Co., LTD",23
9,"Register.com, Inc.",23
895,Google Inc.,22
1913,DOTSERVE INC.,21
1655,"Xiamen Nawang Technology Co., Ltd",21
113,CSL Computer Service Langenbach GmbH d/b/a joker.com,19
675,Super Registry Ltd,18
1734,"Shenzhen HuLianXianFeng Technology Co.,LTD",17
1467,Register NV dba Register.eu,17
1463,"Global Domains International, Inc. DBA DomainCostClub.com",16
1371,AB Name ISP,12
1449,"URL Solutions, Inc.",12
292,MarkMonitor Inc.,12
3,Registry Installation,12
1495,BigRock Solutions Ltd.,11
299,"CSC Corporate Domains, Inc.",11
839,Realtime Register B.V.,10
151,"PSI-USA, Inc. dba Domain Robot",10
291,"DNC Holdings, Inc.",10
1860,Paragon Internet Group Ltd t/a Paragon Names,9
1519,NETIM SARL,8
645,GMO-Z.com Pte. Ltd.,8
244,"Gabia, Inc.",7
1086,"Marcaria.com International, Inc.",6
1362,Regtime Ltd.,6
1605,"Chengdu Fly-Digital Technology Co., Ltd.",6
13,Melbourne IT Ltd,6
1466,Lexsynergy Limited,5
1666,OpenTLD B.V.,5
1001,Domeneshop AS dba domainnameshop.com,5
664,Web4Africa Inc.,5
1609,Synergy Wholesale Pty Ltd,4
1403,"10dencehispahard, S.L.",4
1383,"Soluciones Corporativas IP, SL",4
1152,"Go Montenegro Domains, LLC",4
1420,INWX GmbH & Co. KG,4
612,"Blue Razor Domains, LLC",3
79,Easyspace Limited,3
460,Web Commerce Communications Limited dba WebNic.cc,3
965,Domain Central Australia Pty Ltd.,2
470,Nom-iq Ltd. dba COM LAUDE,2
1628,ZNet Technologies Pvt Ltd.,2
1489,"Megazone Corp., dba HOSTING.KR",2
1739,"Hangzhou Dianshang Internet Technology Co., LTD.",2
1150,"Go Canada Domains, LLC",2
1262,Dinahosting s.l.,2
1555,"22net, Inc.",1
976,http.net Internet GmbH,1
1915,West263 International Limited,1
1742,"Zhengzhou Zitian Network Technology Co., Ltd.",1
696,"Entorno Digital, S.A.",1
1239,CPS-Datensysteme GmbH,1
1662,Enset,1
1257,Variomedia AG dba puredomain.com,1
1328,RegistryGate GmbH,1
2374,Hosting Ukraine LLC,1
85,EPAG Domainservices GmbH,1
73,Ports Group AB,1
1705,"Network Information Center Mexico, S.C.",1
1464,NameWeb BVBA,1
890,IP Mirror Pte Ltd dba IP MIRROR,1
1443,Vautron Rechenzentrum AG,1
1861,Porkbun LLC,1
623,"Name124, Inc.",1
10007,Domain The Net Technologies Ltd.,1
143,"Omnis Network, LLC",1
1251,Nameshield SAS,1
1725,Global Village GmbH,1
455,"EnCirca, Inc.",1
456,Webnames.ca Inc.,1
1620,EJEE Group Holdings Limited,1
1924,Hello Internet Corp.,1
1149,"Go China Domains, LLC",1
1591,"Promo People, Inc.",1
1337,Web Werks India Pvt. Ltd d/b/a ZenRegistry.com,1
1448,Blacknight Internet Solutions Ltd.,1
