49,"GMO Internet, Inc. d/b/a Onamae.com",1073639
48,"eNom, LLC",717429
146,"GoDaddy.com, LLC",617087
303,PDR Ltd. d/b/a PublicDomainRegistry.com,243648
9,"Register.com, Inc.",145894
471,"Bizcn.com, Inc.",95251
1110,FBS Inc.,82442
625,"Name.com, Inc.",80372
440,"Wild West Domains, LLC",68560
228,Moniker Online Services LLC,68502
814,Internet.bs Corp.,62535
420,HiChina Zhicheng Technology Limited,58724
1557,"Netowl, Inc.",57300
69,Tucows Domains Inc.,55556
1331,"eName Technology Co., Ltd.",45878
886,"Domain.com, LLC",38608
2,"Network Solutions, LLC",36811
1495,BigRock Solutions Ltd.,35634
120,Xin Net Technology Corporation,35106
472,"Dynadot, LLC",31954
1479,"NameSilo, LLC",28965
269,Key-Systems GmbH,23797
1556,"Chengdu West Dimension Digital Technology Co., Ltd.",19667
83,1&1 Internet SE,18846
1659,Uniregistrar Corp,18839
633,Beijing Innovative Linkage Technology Ltd. dba dns.com.cn,16697
13,Melbourne IT Ltd,16014
291,"DNC Holdings, Inc.",15950
82,"OnlineNIC, Inc.",15869
955,Launchpad.com Inc.,14238
1469,Jiangsu Bangning Science & technology Co. Ltd.,13120
1387,1API GmbH,12718
1470,"Shanghai Yovole Networks, Inc.",12588
1465,"Hangzhou AiMing Network Co., Ltd.",12441
1111,"DomainContext, Inc.",12195
1555,"22net, Inc.",11629
953,Nanjing Imperiosus Technology Co. Ltd.,11475
411,Fabulous.com Pty Ltd,11336
1621,"Shanghai Meicheng Technology Information Development Co., Ltd.",11202
2487,Internet Domain Service BS Corp,10755
433,OVH sas,10466
1418,Danesco Trading Ltd.,9980
1316,"35 Technology Co., Ltd.",9795
1390,Mesh Digital Limited,9329
460,Web Commerce Communications Limited dba WebNic.cc,9064
1564,TLD Registrar Solutions Ltd.,8713
1154,FastDomain Inc.,8419
292,MarkMonitor Inc.,8386
1857,Alpnames Limited,7604
1326,"Webair Internet Development, Inc.",7484
697,"Todaynic.com, Inc.",7164
1068,"NameCheap, Inc.",7126
1011,101domain GRS Limited,7087
1436,Center of Ukrainian Internet Names (UKRNAMES),6967
1291,Crazy Domains FZ-LLC,6908
113,CSL Computer Service Langenbach GmbH d/b/a joker.com,6509
1563,"Foshan YiDong Network Co., LTD",6482
1525,"Guangdong JinWanBang Technology Investment Co., Ltd.",6385
1915,West263 International Limited,6098
941,"Dynamic Dolphin, Inc.",5870
151,"PSI-USA, Inc. dba Domain Robot",5579
1449,"URL Solutions, Inc.",5111
1606,Registrar of Domain Names REG.RU LLC,4928
81,Gandi SAS,4769
1090,"Active Registrar, Inc.",4555
1619,GuangDong NaiSiNiKe Information Technology Co Ltd.,4359
1441,"TurnCommerce, Inc. DBA NameBright.com",4295
617,"Epik, Inc.",4264
1636,"Hostinger, UAB",4083
1868,Eranet International Limited,4074
1250,"OwnRegistrar, Inc.",4047
1454,Nics Telekomnikasyon Tic Ltd. ti.,4039
1655,"Xiamen Nawang Technology Co., Ltd",4021
1443,Vautron Rechenzentrum AG,4006
839,Realtime Register B.V.,4002
1091,"IHS Telekom, Inc.",3842
466,"DomainSite, Inc.",3765
700001,asia registry r6-asia (700001),3613
1005,NetEarth One Inc. d/b/a NetEarth,3521
1505,"Gransy, s.r.o. d/b/a subreg.cz",3364
1478,CV. Jogjacamp,3330
1376,Instra Corporation Pty Ltd.,3308
143,"Omnis Network, LLC",3255
1366,"Xiamen ChinaSource Internet Service Co., Ltd",3211
1007,Net 4 India Limited,3006
1362,Regtime Ltd.,3005
940,Above.com Pty Ltd.,2936
772,"MyManager, Inc.",2801
84,UK-2 Limited,2604
1367,Paknic (Private) Limited,2553
609,NameKing.com Inc.,2502
463,"Regional Network Information Center, JSC dba RU-CENTER",2467
1587,Mijn InternetOplossing B.V.,2307
1004,Netlynx Inc.,2187
106,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",2132
1503,PT Ardh Global Indonesia,2014
9996,asia registry r6-asia (9996),1975
299,"CSC Corporate Domains, Inc.",1923
1605,"Chengdu Fly-Digital Technology Co., Ltd.",1876
787,"GoName-TN.com, Inc.",1815
1586,MAT BAO CORPORATION,1806
1741,Shinjiru Technology Sdn Bhd,1679
447,SafeNames Ltd.,1645
1371,AB Name ISP,1629
168,REGISTER.IT SPA,1497
1647,Hosting Concepts B.V. d/b/a Openprovider,1488
740,"GoName-HI.com, Inc.",1454
760,"Intersolved-TX.com, Inc.",1369
431,"DreamHost, LLC",1340
722,"GoName-FL.com, Inc.",1320
244,"Gabia, Inc.",1250
766,"Intersolved-TN.com, Inc.",1228
687,"GoName-WA.com, Inc.",1219
1489,"Megazone Corp., dba HOSTING.KR",1172
1153,"Go France Domains, LLC",1123
1152,"Go Montenegro Domains, LLC",1112
1248,"GoName-TX.com, Inc.",1110
819,Reg2C.com Inc.,1103
1151,"Go Australia Domains, LLC",1076
997,"NamePal.com, LLC",1063
1150,"Go Canada Domains, LLC",1060
1426,JSC Registrar R01,1049
1247,"Intersolved-FL.com, Inc.",1035
820,ELB Group Inc,1034
747,Intersolved-WA.com Inc.,1034
1515,123-Reg Limited,1019
1149,"Go China Domains, LLC",1016
1600,"Tecnocrtica Centro de Datos, S.L.",1009
141,Cronon AG,982
74,Online SAS,952
86,TierraNet Inc. d/b/a DomainDiscover,947
93,"GKG.NET, INC.",938
320,TLDS L.L.C. d/b/a SRSPlus,934
1654,Ourdomains Limited,924
1389,Universo Online S/A (UOL),852
378,2030138 Ontario Inc. dba NamesBeyond.com and dba GoodLuckDomain.com,847
1408,united-domains AG,830
379,"Arsys Internet, S.L. dba NICLINE.COM",826
600,Rebel Ltd,824
895,Google Inc.,799
1132,Dotname Korea Corp.,799
818,"Interdominios, Inc.",770
817,MAFF Inc.,768
880,"Domainclub.com, LLC",758
1628,ZNet Technologies Pvt Ltd.,721
1675,CV. Rumahweb Indonesia,698
1114,Media Elite Holdings Limited,676
1328,RegistryGate GmbH,670
1534,Aerotek Bilisim Sanayi ve Ticaret AS,635
