1857,Alpnames Limited,1208509
49,"GMO Internet, Inc. d/b/a Onamae.com",263681
1068,"NameCheap, Inc.",153680
1599,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),123288
1556,"Chengdu West Dimension Digital Technology Co., Ltd.",81907
303,PDR Ltd. d/b/a PublicDomainRegistry.com,74651
697,"Todaynic.com, Inc.",46652
1564,TLD Registrar Solutions Ltd.,32043
953,Nanjing Imperiosus Technology Co. Ltd.,29682
1469,Jiangsu Bangning Science & technology Co. Ltd.,20646
1655,"Xiamen Nawang Technology Co., Ltd",19232
48,"eNom, LLC",18531
433,OVH sas,18485
146,"GoDaddy.com, LLC",18348
1659,Uniregistrar Corp,17891
471,"Bizcn.com, Inc.",11887
120,Xin Net Technology Corporation,8189
81,Gandi SAS,7254
472,"Dynadot, LLC",6984
1376,Instra Corporation Pty Ltd.,6922
1479,"NameSilo, LLC",6718
1636,"Hostinger, UAB",5257
69,Tucows Domains Inc.,5074
1011,101domain GRS Limited,5045
1915,West263 International Limited,4090
625,"Name.com, Inc.",3574
1868,Eranet International Limited,3399
2805,"Zhengzhou Century Connect Electronic Technology Development Co., Ltd",3235
1606,Registrar of Domain Names REG.RU LLC,2811
1345,"Key-Systems, LLC",2779
82,"OnlineNIC, Inc.",2687
1331,"eName Technology Co., Ltd.",1681
1463,"Global Domains International, Inc. DBA DomainCostClub.com",1665
1449,"URL Solutions, Inc.",1607
1621,"Shanghai Meicheng Technology Information Development Co., Ltd.",1532
1387,1API GmbH,1459
440,"Wild West Domains, LLC",1389
1563,"Foshan YiDong Network Co., LTD",1339
1518,"Shanghai Best Oray Information S&T Co., Ltd.",1324
675,Super Registry Ltd,1209
1291,Crazy Domains FZ-LLC,1196
1505,"Gransy, s.r.o. d/b/a subreg.cz",989
1586,MAT BAO CORPORATION,746
1110,FBS Inc.,511
1362,Regtime Ltd.,500
1605,"Chengdu Fly-Digital Technology Co., Ltd.",379
83,1&1 Internet SE,377
113,CSL Computer Service Langenbach GmbH d/b/a joker.com,334
1366,"Xiamen ChinaSource Internet Service Co., Ltd",323
9,"Register.com, Inc.",316
463,"Regional Network Information Center, JSC dba RU-CENTER",267
1734,"Shenzhen HuLianXianFeng Technology Co.,LTD",235
244,"Gabia, Inc.",231
839,Realtime Register B.V.,208
1557,"Netowl, Inc.",206
1454,Nics Telekomnikasyon Tic Ltd. ti.,186
1390,Mesh Digital Limited,185
1913,DOTSERVE INC.,182
1745,LogicBoxes Naming Services Ltd,158
2485,"EIMS (Shenzhen) Culture & Technology Co., Ltd",155
2,"Network Solutions, LLC",147
291,"DNC Holdings, Inc.",139
664,Web4Africa Inc.,133
1675,CV. Rumahweb Indonesia,130
1619,GuangDong NaiSiNiKe Information Technology Co Ltd.,129
455,"EnCirca, Inc.",123
1739,"Hangzhou Dianshang Internet Technology Co., LTD.",122
1420,INWX GmbH & Co. KG,114
1443,Vautron Rechenzentrum AG,101
1620,EJEE Group Holdings Limited,89
1466,Lexsynergy Limited,74
1416,Minds and Machines LLC,74
1408,united-domains AG,63
151,"PSI-USA, Inc. dba Domain Robot",53
637,Dot Holding Inc.,50
837,"Freeparking Domain Registrars, Inc.",45
1742,"Zhengzhou Zitian Network Technology Co., Ltd.",44
1495,BigRock Solutions Ltd.,42
1467,Register NV dba Register.eu,40
1519,NETIM SARL,38
1489,"Megazone Corp., dba HOSTING.KR",35
1086,"Marcaria.com International, Inc.",34
460,Web Commerce Communications Limited dba WebNic.cc,31
895,Google Inc.,26
617,"Epik, Inc.",26
1647,Hosting Concepts B.V. d/b/a Openprovider,23
1091,"IHS Telekom, Inc.",23
1052,EuroDNS S.A.,21
1909,Webnames Limited,20
447,SafeNames Ltd.,20
74,Online SAS,19
141,Cronon AG,13
938,Sibername Internet and Software Technologies Inc.,13
1555,"22net, Inc.",13
1875,Intracom Middle East FZE,12
106,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",12
2374,Hosting Ukraine LLC,11
277,"Interlink Co., Ltd.",11
1462,One.com A/S,11
1525,"Guangdong JinWanBang Technology Investment Co., Ltd.",10
1403,"10dencehispahard, S.L.",9
1383,"Soluciones Corporativas IP, SL",9
965,Domain Central Australia Pty Ltd.,8
819,Reg2C.com Inc.,6
1861,Porkbun LLC,6
1666,OpenTLD B.V.,6
817,MAFF Inc.,6
820,ELB Group Inc,6
269,Key-Systems GmbH,6
835,KuwaitNET General Trading Co.,6
1628,ZNet Technologies Pvt Ltd.,6
1149,"Go China Domains, LLC",5
645,GMO-Z.com Pte. Ltd.,5
2502,Online Data Services Joint Stock Company,5
