146,"GoDaddy.com, LLC",322908
303,PDR Ltd. d/b/a PublicDomainRegistry.com,79593
48,"eNom, LLC",74954
69,Tucows Domains Inc.,43774
420,HiChina Zhicheng Technology Limited,40289
120,Xin Net Technology Corporation,37452
2,"Network Solutions, LLC",34137
471,"Bizcn.com, Inc.",21850
1154,FastDomain Inc.,21125
440,"Wild West Domains, LLC",18376
83,1&1 Internet SE,18171
1331,"eName Technology Co., Ltd.",16637
433,OVH sas,13257
886,"Domain.com, LLC",12457
625,"Name.com, Inc.",12218
82,"OnlineNIC, Inc.",12142
1556,"Chengdu West Dimension Digital Technology Co., Ltd.",10956
633,Beijing Innovative Linkage Technology Ltd. dba dns.com.cn,9621
9,"Register.com, Inc.",9058
1555,"22net, Inc.",8826
269,Key-Systems GmbH,8053
49,"GMO Internet, Inc. d/b/a Onamae.com",8041
1316,"35 Technology Co., Ltd.",7278
13,Melbourne IT Ltd,7143
1465,"Hangzhou AiMing Network Co., Ltd.",6939
955,Launchpad.com Inc.,6788
1469,Jiangsu Bangning Science & technology Co. Ltd.,6574
1479,"NameSilo, LLC",6427
1110,FBS Inc.,6360
1621,"Shanghai Meicheng Technology Information Development Co., Ltd.",6329
1655,"Xiamen Nawang Technology Co., Ltd",5762
431,"DreamHost, LLC",5562
1915,West263 International Limited,5259
81,Gandi SAS,4839
106,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",4531
141,Cronon AG,4338
460,Web Commerce Communications Limited dba WebNic.cc,4298
1418,Danesco Trading Ltd.,4297
1387,1API GmbH,4250
379,"Arsys Internet, S.L. dba NICLINE.COM",4032
472,"Dynadot, LLC",3983
1454,Nics Telekomnikasyon Tic Ltd. ti.,3888
1495,BigRock Solutions Ltd.,3803
814,Internet.bs Corp.,3772
1563,"Foshan YiDong Network Co., LTD",3698
1515,123-Reg Limited,3532
839,Realtime Register B.V.,3446
1470,"Shanghai Yovole Networks, Inc.",3444
1390,Mesh Digital Limited,3443
1291,Crazy Domains FZ-LLC,3398
1478,CV. Jogjacamp,3293
228,Moniker Online Services LLC,2770
151,"PSI-USA, Inc. dba Domain Robot",2714
1564,TLD Registrar Solutions Ltd.,2704
1366,"Xiamen ChinaSource Internet Service Co., Ltd",2630
113,CSL Computer Service Langenbach GmbH d/b/a joker.com,2532
168,REGISTER.IT SPA,2483
604,In2net Network Inc.,2432
291,"DNC Holdings, Inc.",2414
1383,"Soluciones Corporativas IP, SL",2376
1091,"IHS Telekom, Inc.",2288
463,"Regional Network Information Center, JSC dba RU-CENTER",2276
1606,Registrar of Domain Names REG.RU LLC,2163
1005,NetEarth One Inc. d/b/a NetEarth,2040
817,MAFF Inc.,2013
244,"Gabia, Inc.",1944
1472,LiquidNet Ltd.,1938
