49,"GMO Internet, Inc. d/b/a Onamae.com",1177886
146,"GoDaddy.com, LLC",835603
48,"eNom, LLC",465152
303,PDR Ltd. d/b/a PublicDomainRegistry.com,230294
9,"Register.com, Inc.",95726
2,"Network Solutions, LLC",79360
625,"Name.com, Inc.",77315
440,"Wild West Domains, LLC",69209
471,"Bizcn.com, Inc.",67163
228,Moniker Online Services LLC,40902
120,Xin Net Technology Corporation,39876
69,Tucows Domains Inc.,37287
1465,"Hangzhou AiMing Network Co., Ltd.",30143
1495,BigRock Solutions Ltd.,26907
269,Key-Systems GmbH,26188
1621,"Shanghai Meicheng Technology Information Development Co., Ltd.",25751
1655,"Xiamen Nawang Technology Co., Ltd",24871
420,HiChina Zhicheng Technology Limited,23466
1110,FBS Inc.,21221
814,Internet.bs Corp.,20426
472,"Dynadot, LLC",19701
13,Melbourne IT Ltd,19108
1659,Uniregistrar Corp,18847
1387,1API GmbH,17049
1479,"NameSilo, LLC",15368
82,"OnlineNIC, Inc.",13441
83,1&1 Internet SE,13406
633,Beijing Innovative Linkage Technology Ltd. dba dns.com.cn,13268
886,"Domain.com, LLC",12576
1331,"eName Technology Co., Ltd.",12557
1557,"Netowl, Inc.",11958
1556,"Chengdu West Dimension Digital Technology Co., Ltd.",11370
953,Nanjing Imperiosus Technology Co. Ltd.,10834
1316,"35 Technology Co., Ltd.",9832
433,OVH sas,9447
1564,TLD Registrar Solutions Ltd.,9215
1154,FastDomain Inc.,8693
460,Web Commerce Communications Limited dba WebNic.cc,8532
955,Launchpad.com Inc.,8502
2487,Internet Domain Service BS Corp,8492
1291,Crazy Domains FZ-LLC,8382
1418,Danesco Trading Ltd.,8380
1470,"Shanghai Yovole Networks, Inc.",8230
1563,"Foshan YiDong Network Co., LTD",7799
1111,"DomainContext, Inc.",7394
1068,"NameCheap, Inc.",7347
291,"DNC Holdings, Inc.",7228
1469,Jiangsu Bangning Science & technology Co. Ltd.,6957
1436,Center of Ukrainian Internet Names (UKRNAMES),6533
817,MAFF Inc.,6244
697,"Todaynic.com, Inc.",6124
1005,NetEarth One Inc. d/b/a NetEarth,6080
292,MarkMonitor Inc.,5616
1454,Nics Telekomnikasyon Tic Ltd. ti.,5519
113,CSL Computer Service Langenbach GmbH d/b/a joker.com,5341
1915,West263 International Limited,5324
1250,"OwnRegistrar, Inc.",5238
1441,"TurnCommerce, Inc. DBA NameBright.com",5172
1390,Mesh Digital Limited,5128
418,CommuniGal Communication Ltd.,4914
151,"PSI-USA, Inc. dba Domain Robot",4771
81,Gandi SAS,4740
1605,"Chengdu Fly-Digital Technology Co., Ltd.",4412
1606,Registrar of Domain Names REG.RU LLC,4282
1383,"Soluciones Corporativas IP, SL",4220
1090,"Active Registrar, Inc.",4111
1619,GuangDong NaiSiNiKe Information Technology Co Ltd.,4074
466,"DomainSite, Inc.",3843
1091,"IHS Telekom, Inc.",3687
447,SafeNames Ltd.,3553
1443,Vautron Rechenzentrum AG,3395
700001,asia registry r6-asia (700001),3337
1525,"Guangdong JinWanBang Technology Investment Co., Ltd.",3309
1367,Paknic (Private) Limited,3083
106,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",3040
1004,Netlynx Inc.,3030
1857,Alpnames Limited,3000
1505,"Gransy, s.r.o. d/b/a subreg.cz",2908
9996,asia registry r6-asia (9996),2890
1366,"Xiamen ChinaSource Internet Service Co., Ltd",2863
1376,Instra Corporation Pty Ltd.,2687
1362,Regtime Ltd.,2665
168,REGISTER.IT SPA,2483
1587,Mijn InternetOplossing B.V.,2475
463,"Regional Network Information Center, JSC dba RU-CENTER",2442
1515,123-Reg Limited,2325
143,"Omnis Network, LLC",2315
839,Realtime Register B.V.,2170
1647,Hosting Concepts B.V. d/b/a Openprovider,2142
1150,"Go Canada Domains, LLC",2079
1149,"Go China Domains, LLC",2079
1151,"Go Australia Domains, LLC",2061
1152,"Go Montenegro Domains, LLC",2059
1153,"Go France Domains, LLC",2044
1478,CV. Jogjacamp,1972
299,"CSC Corporate Domains, Inc.",1961
431,"DreamHost, LLC",1825
1555,"22net, Inc.",1721
1503,PT Ardh Global Indonesia,1694
1654,Ourdomains Limited,1589
1011,101domain GRS Limited,1496
895,Google Inc.,1387
1741,Shinjiru Technology Sdn Bhd,1381
1426,JSC Registrar R01,1358
1326,"Webair Internet Development, Inc.",1350
819,Reg2C.com Inc.,1341
1868,Eranet International Limited,1339
93,"GKG.NET, INC.",1327
411,Fabulous.com Pty Ltd,1279
1389,Universo Online S/A (UOL),1254
940,Above.com Pty Ltd.,1099
320,TLDS L.L.C. d/b/a SRSPlus,1094
379,"Arsys Internet, S.L. dba NICLINE.COM",1090
1007,Net 4 India Limited,1084
141,Cronon AG,1073
1388,Dattatec.com SRL,1071
74,Online SAS,1009
600,Rebel Ltd,979
1337,Web Werks India Pvt. Ltd d/b/a ZenRegistry.com,948
772,"MyManager, Inc.",945
997,"NamePal.com, LLC",939
890,IP Mirror Pte Ltd dba IP MIRROR,873
84,UK-2 Limited,872
1472,LiquidNet Ltd.,822
52,"Deluxe Small Business Sales, Inc. d/b/a Aplus.net",787
925,"Everyones Internet, Ltd. dba SoftLayer",760
65,"DomainPeople, Inc.",751
244,"Gabia, Inc.",721
123,"The Registry at Info Avenue, LLC d/b/a Spirit Communications",713
1586,MAT BAO CORPORATION,688
88,Namebay SAM,683
86,TierraNet Inc. d/b/a DomainDiscover,676
1649,P.A. Viet Nam Company Limited,670
1040,"Oracle America, Inc.",662
787,"GoName-TN.com, Inc.",653
1408,united-domains AG,606
1052,EuroDNS S.A.,600
700000,asia registry r2-asia (700000),598
1636,"Hostinger, UAB",594
1411,DomainName Highway LLC,581
617,"Epik, Inc.",577
1412,"China Springboard, Inc.",577
740,"GoName-HI.com, Inc.",574
1899,"CyanDomains, Inc.",571
820,ELB Group Inc,554
1675,CV. Rumahweb Indonesia,546
677,NetRegistry Pty Ltd.,534
1328,RegistryGate GmbH,533
790,Premierename.ca Inc.,518
1900,"DomainName Bridge, Inc.",515
760,"Intersolved-TX.com, Inc.",513
1600,"Tecnocrtica Centro de Datos, S.L.",510
1248,"GoName-TX.com, Inc.",501
1873,"MAFF AVENUE, INC.",491
766,"Intersolved-TN.com, Inc.",483
1902,"HazelDomains, Inc.",479
1608,Beijing Tong Guan Xin Tian Technology Ltd (Novaltel),478
747,Intersolved-WA.com Inc.,477
1870,"DOMAINNAME BLVD, INC.",472
722,"GoName-FL.com, Inc.",472
1019,"Threadagent.com, Inc.",471
612,"Blue Razor Domains, LLC",451
978,"! #1 Host Israel, Inc.",449
913,PocketDomain.com Inc.,448
1247,"Intersolved-FL.com, Inc.",444
1919,"DomainName Driveway, Inc.",434
1871,"DOMAINNAME FWY, INC.",433
900,TPP Wholesale Pty Ltd,431
1489,"Megazone Corp., dba HOSTING.KR",424
1112,"Internet Invest, Ltd. dba Imena.ua",420
1742,"Zhengzhou Zitian Network Technology Co., Ltd.",419
1403,"10dencehispahard, S.L.",418
1371,AB Name ISP,417
687,"GoName-WA.com, Inc.",415
1903,"KQW, Inc.",415
1262,Dinahosting s.l.,413
1863,DotMedia Limited,411
1907,"DomainName Path, Inc.",409
1620,EJEE Group Holdings Limited,404
1872,"FLAPPY DOMAIN, INC.",397
1244,"Intersolved-HI.com, Inc.",396
602,LCN.COM Ltd.,395
1921,"Fujian Domains, Inc.",394
1483,Neubox Internet S.A. de C.V.,392
1632,"Century Oriental International Co., Ltd.",388
664,Web4Africa Inc.,388
1516,Guangzhou Ehost Tech. Co. Ltd.,386
1698,"GoName.com, Inc",384
140,"Acens Technologies, S.L.U.",381
1905,"Xiamen Domains, Inc.",379
1628,ZNet Technologies Pvt Ltd.,369
888,"Pheenix, Inc.",352
1527,DOMAIN NAME NETWORK PTY LTD,346
976,http.net Internet GmbH,336
1860,Paragon Internet Group Ltd t/a Paragon Names,335
100,"Whois Networks Co., Ltd.",333
1456,NetArt Sp z o.o,332
609,NameKing.com Inc.,328
1429,Hebei Guoji Maoyi (Shanghai) LTD dba HebeiDomains.com,327
1739,"Hangzhou Dianshang Internet Technology Co., LTD.",323
469,easyDNS Technologies Inc.,316
1922,"Guangzhou Domains, Inc.",303
1424,"Wingu Networks, S.A. de C.V.",300
1558,SiliconHouse.Net Pvt Ltd.,295
