1857,Alpnames Limited,751748
49,"GMO Internet, Inc. d/b/a Onamae.com",295641
1068,"NameCheap, Inc.",72224
697,"Todaynic.com, Inc.",69404
303,PDR Ltd. d/b/a PublicDomainRegistry.com,54518
1556,"Chengdu West Dimension Digital Technology Co., Ltd.",50649
1655,"Xiamen Nawang Technology Co., Ltd",42089
953,Nanjing Imperiosus Technology Co. Ltd.,35502
1564,TLD Registrar Solutions Ltd.,24700
433,OVH sas,17690
48,"eNom, LLC",15870
1875,Intracom Middle East FZE,11255
146,"GoDaddy.com, LLC",9143
1659,Uniregistrar Corp,8912
69,Tucows Domains Inc.,6437
1376,Instra Corporation Pty Ltd.,6200
120,Xin Net Technology Corporation,6000
471,"Bizcn.com, Inc.",5188
1599,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),4223
625,"Name.com, Inc.",3280
1868,Eranet International Limited,2854
1469,Jiangsu Bangning Science & technology Co. Ltd.,2567
1011,101domain GRS Limited,2410
81,Gandi SAS,2330
472,"Dynadot, LLC",2241
1110,FBS Inc.,1996
1563,"Foshan YiDong Network Co., LTD",1834
440,"Wild West Domains, LLC",1696
1345,"Key-Systems, LLC",1362
1606,Registrar of Domain Names REG.RU LLC,1124
1362,Regtime Ltd.,757
1505,"Gransy, s.r.o. d/b/a subreg.cz",711
1387,1API GmbH,674
1621,"Shanghai Meicheng Technology Information Development Co., Ltd.",589
1291,Crazy Domains FZ-LLC,538
1479,"NameSilo, LLC",510
1915,West263 International Limited,380
1449,"URL Solutions, Inc.",339
82,"OnlineNIC, Inc.",308
83,1&1 Internet SE,301
2,"Network Solutions, LLC",290
9,"Register.com, Inc.",262
463,"Regional Network Information Center, JSC dba RU-CENTER",236
1390,Mesh Digital Limited,222
1331,"eName Technology Co., Ltd.",196
113,CSL Computer Service Langenbach GmbH d/b/a joker.com,159
455,"EnCirca, Inc.",154
1337,Web Werks India Pvt. Ltd d/b/a ZenRegistry.com,146
291,"DNC Holdings, Inc.",125
1636,"Hostinger, UAB",125
1605,"Chengdu Fly-Digital Technology Co., Ltd.",114
675,Super Registry Ltd,105
1620,EJEE Group Holdings Limited,104
1443,Vautron Rechenzentrum AG,102
1675,CV. Rumahweb Indonesia,91
1647,Hosting Concepts B.V. d/b/a Openprovider,88
